title,source,time,summary
小布播报|央视再次聚焦郑州;我省将发放6亿元专项资金促消费,网易,10天前,"郭军生安阳鑫盛机床股份有限公司研发中心技术员,工程师 郭帅中国人民银行林州市支行办公室工人 王明丽(女) 河南新纯服装有限公司生产部A分厂车缝三班车工 陈艳(女) 河南科隆集团有限公司河南科隆电源材料有限公司技改部技术员,助理工程师 ..."
大河早点看 | 五一劳动奖章发榜!河南这些人和集体上榜;郑州将发放...,腾讯网,10天前,"郭军生 安阳鑫盛机床股份有限公司研发中心技术员,工程师 郭帅 中国人民银行林州市支行办公室工人 王明丽(女) 河南新纯服装有限公司生产部A分厂车缝三班车工 陈艳(女) 河南科隆集团有限公司河南科隆电源材料有限公司技改部技术员,助理工程师..."
五一劳动奖章发榜!河南这些人和集体上榜,顶端新闻,4月27日,"王明丽(女)河南新纯服装有限公司生产部A分厂车缝三班车工 陈艳(女)河南科隆集团有限公司河南科隆电源材料有限公司技改部技术员,助理工程师 王书玉河南省新乡市农业科学院水稻研究所所长,研究员 廉立冬中原内配集团股份有限公司套缸二厂机械..."
"“创新 创业,永不停歇”",大河网,4月27日,"父亲程清丰河南科隆集团总裁,全国轻工系统劳动模范 儿子程迪河南科隆新能源股份有限公司总经理兼新能源研究院院长,全国轻工系统劳动模范 “老爸,我想对您说,创新、创业精神是您给我的最宝贵的‘财富’,我会好好珍惜、发扬光大,让这种精神..."
"致敬劳动者|分享新乡这些“父子劳模”的故事——“长大后,我就成...",河南日报客户端,4月26日,"3月份,在数千公里外的河南新乡,河南科隆新能源股份有限公司总经理兼新能源研究院院长程迪,带领团队对系统的各个细节精益求精,保障了该动车组的电源系统顺利交付主机厂。目前电源系统已成功安装运行,正在随整车进行最终的各项测试。 “能用..."
正在公示!国家级表彰!驻马店这些人上榜…,腾讯网,4月16日,"郭军生 安阳鑫盛机床股份有限公司研发中心技术员,工程师 郭帅 中国人民银行林州市支行办公室工人 王明丽(女) 河南新纯服装有限公司生产部A分厂车缝三班车工 陈艳(女) 河南科隆集团有限公司河南科隆电源材料有限公司技改部技术员,助理工程师..."
"正在公示,国家级表彰,有咱开封!",腾讯网,4月15日,"郭军生 安阳鑫盛机床股份有限公司研发中心技术员,工程师 郭帅 中国人民银行林州市支行办公室工人 王明丽(女) 河南新纯服装有限公司生产部A分厂车缝三班车工 陈艳(女) 河南科隆集团有限公司河南科隆电源材料有限公司技改部技术员,助理工程师..."
《政企面面观》本期关注:战略性新兴产业 打造新引擎 激发新动能,搜狐网,3月24日,"《政企面面观》民营经济“出彩河南人”特别节目本期邀请——省发展改革委一级巡视员郜义,省人大代表、河南中钢网电子商务有限公司董事长姚红超,新乡市政协常委、委员 、河南科隆新能源股份有限公司总经理程迪,做客河南新闻广播直播间,畅谈..."
河南省民营经济“出彩河南人”标兵、年度人物揭晓,腾讯网,1月24日,程迪 河南科隆新能源股份有限公司总经理 裴将 春江集团总裁兼河南宝泉旅游股份有限公司总经理 乔友民 河南亿水源净水材料科技有限公司董事长 李建 河南天香面业有限公司董事长 李世江 多氟多化工股份有限公司董事长 ...
“建行杯”第一届河南省民营经济“出彩河南人”标兵和年度人物...,网易订阅,1月23日,程迪 河南科隆新能源股份有限公司总经理 裴将 春江集团总裁兼河南宝泉旅游股份有限公司总经理 乔友民 河南亿水源净水材料科技有限公司董事长 李建 河南天香面业有限公司董事长 李世江 多氟多化工股份有限公司董事长 ...
南阳多名民营企业家入选河南省抗击新冠肺炎疫情民营经济先进个人...,网易,1月23日,张景堂 天海汽车电子集团股份有限公司董事长 葛海泉 河南仕佳光子科技股份有限公司董事长、总经理 韩红安 卫华集团有限公司董事长 程迪 河南科隆新能源股份有限公司总经理 堵召辉 东安控股集团有限公司董事长 ...
新乡市抗击新冠肺炎疫情省级民营经济先进个人拟推荐对象公示公告,新乡网新闻中心,1月7日,3.牛利宾 河南米多奇食品有限公司总经理 4.李岩松 新乡市卫滨区百年赵记牛肉铺解放路店负责人 5.堵召辉 东安控股集团有限公司董事长 6.韩红安 卫华集团有限公司董事长 7.程迪 河南科隆新能源股份有限公司总经理 ...
辉县这家公司要上市了……,搜狐网,2020年11月19日,新乡市 河南心连心深冷能源股份有限公司 新乡市 河南宝泉旅游股份有限公司 新乡市 河南省德耀节能科技股份有限公司(高新区) 新乡市 新乡市瑞丰新材料股份有限公司 新乡市 河南科隆新能源股份有限公司 ...
搏击后疫情时代:百位豫籍青年企业家齐聚牧野“沙盘”论道,大河财立方,2020年11月1日,，坚定制度自信，不断加强自我学习、自我教育、自我提升，积极参与光彩事业和精准扶贫，做爱国敬业、守法经营、创业创新、回报社会的典范。”河南非公青企联联席会长、河南科隆集团有限公司副总裁程迪表示。责编:李震 | 总监:万军伟 ...
科隆新能拟上A股市场 中天国富担任辅导机构,中金在线,2020年10月27日,"10月27日,资本邦获悉,河南科隆新能源股份有限公司(简称:科隆新能)拟在A股市场首次公开发行股票并上市,中天国富正在对其进行辅导,已于2020年10月23日在河南证监局进行辅导备案。 公司注册地址为新乡市科隆大道61号,法定代表人:程迪,保荐..."
...全球最大连锁便利店7-11郑州首店开业;河南30家IPO在辅导企业...,搜狐网,2020年10月26日,"截止2020年8月31日,公司资产总额为4.7亿元,负债总额为7978.31万元;2020年1-8月,公司实现营业收入3.71亿元,公司净利润2620.96万元。 科隆新能源重启IPO 此前终止科创板上市 10月23日,河南证监局显示,河南科隆新能源股份有限公司拟在..."
2020年度河南省年轻一代民营企业家入围名单公示,澎湃新闻,2020年8月12日,河南昆仑建筑有限责任公司 31 宋承华 新乡新亚纸业集团股份有限公司 32 金航 河南金水电缆集团有限公司 33 刘世磊 河南华洋电工科技集团有限公司 34 程迪 河南科隆新能源股份有限公司 35 裴将 ...
