title,source,time,summary
"强!这种新型纳米材料的首个国家标准,竟然是泰州企业起草的",搜狐网,2019年1月7日,"巨纳新能源董事长丁荣说,随着我国首个石墨烯国标的发布,作为标准第一起草单位,泰州巨纳将在行业中更具话语权,进一步引领全国石墨烯产业发展。 除了牵头起草“国标”,巨纳新能源更是把眼光投向国际市场。前段时间,巨纳新能源在韩国IEC年会..."
巨纳集团与牛津仪器携手共进,仪器信息网,2015年9月22日,"近期,巨纳集团与牛津仪器在泰州召开以“增强技术交流,扩大商务合作”为主题的合作会议。牛津仪器XTG全球副总裁Michael Daish、亚太区总监Michael Feng以及中国区销售经理王鹏一行三人到访泰州巨纳新能源有限公司。巨纳集团董事长丁荣与泰州高新..."
江苏省泰州市委副书记赴侨资企业考察调研,中国侨网,2014年6月24日,"杨峰实地参观了泰州巨纳新能源有限公司石墨烯制备车间、应用实验室和国内首个石墨烯研究及检测平台,听取公司董事长丁荣关于石墨烯项目进展情况介绍。杨峰认为泰州巨纳新能源有限公司在石墨烯领域有很好的基础,尤其在石墨烯检测和相关设备研发..."
第一批石墨烯国标已立项 中国宝安子公司参与起草,OFweek维科网,2015年2月11日,3、“光学法测定石墨烯层数”。起草单位为泰州石墨烯研究及检测平台、泰州巨纳新能源有限公司、东南大学等; 4、“拉曼光谱法表征石墨烯层数”。起草单位为深圳市贝特瑞纳米科技有限公司、中国科学院半导体研究所、国家纳米科学中心、中国科学...
全国纳标委低维纳米结构与性能工作组2020年会暨标准化论坛成功召开,仪器信息网,2020年12月8日,"全国纳标委低维工作组副主任、泰州巨纳新能源有限公司董事长丁荣 最后,低维工作组副主任丁荣介绍了工作组成员增补的具体情况,其中,增补中科院半导体所研谭平恒研究员、东南大学孙立涛教授为副主任委员,东南大学教授吕俊鹏为副秘书长。葛广路..."
2019年全国纳标委低维工作组年会成功召开,仪器信息网,2019年11月16日,"会议由全国纳标委低维工作组副主任委员、泰州巨纳新能源有限公司董事长丁荣主持,全国纳标委低维工作组秘书长梁铮教授首先对全国纳标委低维工作组(下简称低维工作组)2019年的重点工作做了汇报。"
8月易爆炸!“材料之王”应用前沿热点TOP 5,仪器信息网,2019年8月26日,"丁荣:现任香港巨纳集团董事长,泰州巨纳新能源有限公司董事长,泰州石墨烯研究检测平台创始主任,泰州石墨烯制备工程技术研究中心主任,兼任上海交通大学研究生导师,江南大学校外硕士生导师,中国国际石墨烯资源产业联盟副理事长,全国纳标委低维纳..."
我国首个石墨烯国标正式发布 2019年11月1日开始实施,中国产业经济信息网,2019年1月29日,"据悉,江苏泰州巨纳新能源有限公司及其技术专家分别为该标准的第一起草单位及第一起草人。 据介绍,石墨烯是由一个碳原子与周围三个近邻碳原子结合形成蜂窝状结构的碳原子单层。由于石墨烯具有导电性、导热性等许多优异性能,应用前景十分..."
石墨烯板块午后异动 龙头方大炭素大涨6%,东方财富网,2019年1月21日,"据悉,该标准由泰州巨纳新能源有限公司、东南大学等单位起草,是我国首个石墨烯国家标准据介绍,该标准首次明确回答了石墨烯上下游相关产业共同关注的核心热点问题。此外,还有光学对比度法测定石墨烯层数的相关标准,目前正在紧锣密鼓制定中。"
我国首个石墨烯国家标准出炉,中国日报网,2019年1月18日,"记者17日从泰州巨纳新能源有限公司获悉,该公司牵头起草的我国首个石墨烯国家标准GB/T30544.13-2018:《纳米科技 术语第13部分:石墨烯及相关二维材料》正式发布。该标准也是二维材料领域的第一个国家标准。 类石墨烯的二维材料家族涉及学科..."
