title,source,time,summary
[会员]持续加码扩大布局再出发---浙江万马奔腾新能源产业有限公司,搜狐网,2018年1月26日,"浙江万马奔腾新能源产业有限公司是万马股份(002276)在新能源发展战略下的核心产业,主要从事充电基础设施生产、充电网络建设运营业务,搭建能源管理系统平台,在全国范围内提供新能源充电站(桩)整体解决方案,致力于打造最具价值的城市交通能源供应..."
...股份有限公司关于与电气电缆集团共同投资设立浙江万马新能源...,全景网,2010年12月9日,"●投资标的为浙江万马新能源电气有限公司(暂定名,以工商行政管理部门注册为准),注册资本5,000万元人民币。 一、关联交易概述 本次关联交易系本公司和控股股东浙江万马电气电缆集团有限公司(以下简称“电气电缆集团”)共同以现金出资方式投资..."
丁鼎:宇通已累计推广节能与新能源客车近9万辆,网易汽车,2018年5月18日,"宇通国内营销总监丁鼎在发布会上表示,今天是个重要的,值得铭记的一天,不只是因为宇通将带领整个行业新能源技术和产品的升级,不只是因为智能网联和自动驾驶技术将进一步融入大众生活,更是因为,来自于全国公共交通领域的同仁们聚集在了这个现场..."
[公告]万马股份:关于孙公司合资设立三亚万城充新能源科技有限公司...,中国财经信息网,2018年1月30日,"证券代码:002276 证券简称:万马股份编号:2018-006 债券代码:112215 债券简称:14万马01 浙江万马股份有限公司 关于孙公司合资设立三亚万城充新能源科 技有限公司(筹)的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整, ..."
浙江万马新能源布局城市快充网,中国质量新闻网,2018年4月4日,"本报讯 (记者王 辉)在近日举办的2018中国国际电动汽车充电基础设施展览会上,浙江万马奔腾新能源产业有限公司(以下简称万马新能源)的大功率充电设备、万马爱充“EV充电家”系统解决方案、城市快充网投资建设运营方案、新能源物流车运营等当..."
万马股份:全资子公司拟购买万马新能源30%股权 进一步保持上市公司...,金融界,2020年2月10日,来源：发布易 发布易2月10日 - 万马股份（002276）晚间公告称，公司全资子公司万马奔腾新能源产业集团有限公司，拟购买公司控股股东浙江万马智能科技集团有限公司持有的浙江万马新能源有限公司（以下简称“万马新能源”）30%的股权，该股权...
国内|万马股份拟5亿元设立新能源产业公司,搜狐网,2016年10月19日,"电车汇消息:万马股份(002276)10月17日晚公告称,为大力发展万马新能源产业,满足产业快速发展对内部管理水平的要求,公司拟以股权及现金相结合的方式投资设立——浙江万马奔腾新能源产业有限公司(以下简称“新能源产业公司”),拟将上市公司体..."
万马股份(002276)拟共同投资4000万元设立万马海立斯新能源公司,证券之星,2015年7月20日,"2015年7月20日公告,经公司第三届董事会第三十次会议审议通过,公司于2015年7月16日与IES-SYNERGY SAS在杭州签署《合资经营合同》,双方拟共同投资设立浙江万马海立斯新能源有限公司,合资公司注册资本4,000万元,万马股份与IES各占50%股份。"
万马新能源施泽忠:民企“地上十年”的专注丨百家新能源先锋企业...,中国能源报,2018年7月23日,简单却不失严肃的POLO衫，精神的寸头，脸上总挂着笑容，温文尔雅的施泽忠让记者难以将他与驰骋商界的浙江万马奔腾新能源产业有限公司总裁的头衔联系起来。但两鬓微霜难掩他作为总裁的担当，偌大的会议室里林立的奖牌和奖杯昭示着这家民营...
"万马新能源,探索投资建站新模式",钱江晚报,2018年1月3日,那么，我们该如何找到平衡点呢？近日，本报记者实地采访了总部在杭州的充电企业——浙江万马奔腾新能源产业有限公司，从这家企业布局的部分充电站，深入了解目前电动汽车充电的实际状况。快捷、安全是充电关键词 在杭州城西银泰地下车库的一...
