title,source,time,summary
浙江精功科技股份有限公司2018年度报告摘要,搜狐网,2019年4月12日,"一是完成了公司持有的江苏邦源新能源股份有限公司2,320万元股份(占该公司注册资本的18.00%)股权转让事项。二是完成了朝阳绿色科技有限公司合法持有的浙江精功新材料技术有限公司60%股权受让事项,进一步拓展延伸公司装备制造领域。三是在..."
创能科技拟挂牌新三板 2016年度营收6486万元,挖贝网,2017年5月2日,"挖贝网讯 5月2日消息,浙江创能新能源股份有限公司(以下简称:创能科技)已于近日正式申请新三板挂牌,全国股转系统披露的挂牌资料显示,董事长夏青、董事周春红直接和间接合计控制公司81.52%的表决权,为共同实际控制人。"
创能股份2020年年度拟10派2元,手机凤凰网,9天前,"浙江创能新能源股份有限公司主营业务为创能科技以智能家居、节能产品、节能工程和节能投资四大业务为主线,横跨家居智能及节能两大行业。 主要产品分为酷睿数字系列仪表(酷睿i80、酷睿i60、酷睿i30和酷睿i20)、太阳芯数字系列仪表(太阳芯-..."
创能股份2018年度 净利润暴增211.11%,东方财富网,2019年4月26日,"据“新三板+”App AiLab显示浙江创能新能源股份有限公司,成立于2006年,法人夏青,2006年5月25日,公司前身海盐小博士电子科技有限公司成立。2009年8月12日,公司名称变更为浙江创能新能源科技有限公司。2017年3月31日,有限公司整体变更为..."
梦想小镇——浙江创新创业新高地的崛起,搜狐网,2019年4月22日,"园区研发项目补助、办公用房租赁补贴、研发人员生活补助以及高新技术成果奖励等,给初创公司发展减轻了资金压力。凭借在人工智能、超大规模计算机模拟领域12 年的工作经验,夏青首次开创性地将信息熵的概念运用到流行病预测领域,获得全球第一的..."
"领军人物候选人分享创业故事,见证浙江体育产业新变化",搜狐网,2017年11月24日,"戴继刚浙江华洋赛车股份有限公司董事长 所在地区:丽水市 主营业务:二轮越野摩托车、二轮公路赛车、四轮ATV沙滩车生产 个人特色:我国非公路运动摩托车的创史者之一,创下多个中国第一。 “"
创能:空气源热泵行业的王者品牌,网易订阅,2019年6月21日,"2019年6月14日,空气源热泵行业的王者品牌——浙江创能新能源股份有限公司董事长夏青先生,携公司副总经理田小明先生、OEM部大区经理卢俊先生一行到访中新工联(江苏)文化传媒有限公司,接受中新工联旗下媒体《亚洲清洁能源》杂志社的专访。"
谋划绿建大势:创能空气能新基地落成暨新三板挂牌庆典隆重举行,搜狐网,2017年11月25日,"庆典现场,浙江创能新能源股份有限公司董事长夏青对参加庆典的嘉宾表示感谢,并介绍了创能十六年的发展历程。 浙江创能新能源股份有限公司始创于2001年,在至今十六年发展历程中,经历了两个重要性阶段。在2001年开始的初创阶段,创能从电子..."
创能空气能:结合市场需求完善系统控制,慧聪网,2013年1月11日,"【慧聪热泵网讯】“我们将结合空气能热水器的市场需求,不断调整产品的研发重点与方向,为用户提供完善的系统化控制方案。”2012年度中国空气能热水器行业十大竞争力品牌得主——浙江创能新能源科技有限公司总经理夏青在接受中央电视台采访时..."
"专题| 宋卫平退局,浙江足球进入国企时代(上)",懂球帝官方,2020年9月15日,"根据国家企业信用信息公示系统显示,浙江能源绿城足球俱乐部的两大股东中,只剩浙江绿城房地产集团有限公司和浙江省能源集团有限公司,没有了宋卫平的绿城控股集团有限公司和浙江绿城教育投资管理有限公司。 同时俱乐部主要人员信息中也没有了宋卫平..."
