title,source,time,summary
正泰新能源陆川出席2020中国光伏行业年度大会,中国能源报,2020年12月10日,浙江正泰新能源开发有限公司作为中国光伏行业协会副理事长单位受邀出席。9日下午，由工信部、国家能源局等六部委主办的智能光伏产业发展交流会召开，正泰新能源总裁陆川受邀出席并作为智能光伏试点示范企业分享经验及成果。在正泰集团“一云两...
正泰新能源陆川:光伏产业应学习国际机制助推高质量发展,索比光伏网,2019年12月31日,"“这座荷兰目前规模最大光伏电站,对于正泰新能源而言,也显得格外有意义。”浙江正泰新能源开发有限公司总裁陆川向记者介绍说,从2019年初正式开工,到10月底完工、12月初成功并网。Midden Groningen 103MW电站的前期开发、设计、采购、施工建..."
正泰新能源陆川:光伏+的探索与求精,北极星太阳能光伏网,2019年4月11日,"北极星太阳能光伏网讯:4月11日,由浙江省杭州市政府与中国改革报社《能源发展》周刊联合主办的“第四届中国光伏+创新发展论坛”在杭州拉开帷幕。 会上,浙江正泰新能源开发有限公司总裁陆川主旨演讲《正泰光伏+的探索与求精》。陆川认为:..."
编号001 | 盐城正泰新能源科技有限公司组件工厂首块组件下线仪式...,搜狐网,3月26日,"沪苏大丰产业联动集聚区管委会党工委书记董坤、开发区总经理黄晖,浙江正泰新能源开发有限公司董事长兼总裁陆川、副总裁黄海燕、大丰工厂负责人赵明涛等出席仪式。 沪苏大丰产业园党工委书记 董坤 ..."
TÜV北德代表团圆满访问浙江正泰新能源,搜狐网,2019年9月14日,"访问了浙江正泰新能源开发有限公司,与浙江正泰总裁陆川,副总裁黄海燕,晶硅制造事业部CTO徐伟智,产品开发管理部总监周盛永,质量管理部总监郑晓文,质量管理部经理甘海平等就进一步加深了解,深入合作进行了座谈交流,同时也参观了正泰光伏组件..."
浙江省水利水电与正泰新能源签订战略合作协议,索比光伏网,2017年4月21日,"图为4月19日上午11:30分,上海SNEC展会期间,正泰集团展位上,浙江省水利水电投资集团有限公司总经理吴荣辉与浙江正泰新能源开发有限公司总裁陆川正式签订战略合作协议。 浙江正泰新能源开发有限公司是正泰集团旗下从事光伏电站投资、建设、运营..."
中国质量认证中心与正泰新能源签署战略合作协议,搜狐网,4月22日,"2021年4月20日,中国质量认证中心与浙江正泰新能源开发有限公司(以下简称正泰新能源)在京签署战略合作协议。中国质量认证中心主任谢肇煦,正泰新能源董事长、总裁陆川出席致辞并代表双方签署协议。"
正泰新能源与孟加拉庄辰公司签订战略合作协议,走出去导航网,2020年12月10日,近日，浙江正泰新能源开发有限公司与孟加拉利德成集团旗下能源投资板块子公司庄辰发展有限公司（以下简称“庄辰公司”）以线上方式就孟加拉光伏项目签订长期战略合作协议。庄辰公司总经理袁志文、董事孙杰，正泰新能源总裁陆川、海外电站事业部...
CCTV央视报道 | 平价光伏时代看正泰新能源如何迈步,搜狐网,2020年11月22日,"11月21日午间,CCTV-2财经频道《天下财经》栏目以“平价光伏时代”为题深度报道光伏行业。在近十分钟的专题报道中,浙江正泰新能源开发有限公司作为光伏行业重要企业代表之一多次出镜,总裁陆川接受采访,畅谈平价新时代。"
勇当“重要窗口”最精彩板块示范表率⑮ | 尖山与正泰新能源的三...,搜狐网,2020年10月6日,"这里地处长三角核心地带、沪杭经济带重要节点,具有便捷的交通网络、良好的产业集群和强大的配套能力,与正泰新能源全面布局光伏智能制造产业发展方向高度吻合。 浙江正泰新能源开发有限公司总裁陆川说出“钟情”的背后,正是把正泰新能源的未来和..."
正泰新能源陆川出席2020中国光伏行业年度大会,中国能源报,2020年12月10日,浙江正泰新能源开发有限公司作为中国光伏行业协会副理事长单位受邀出席。9日下午，由工信部、国家能源局等六部委主办的智能光伏产业发展交流会召开，正泰新能源总裁陆川受邀出席并作为智能光伏试点示范企业分享经验及成果。在正泰集团“一云两...
正泰新能源陆川:光伏产业应学习国际机制助推高质量发展,索比光伏网,2019年12月31日,"“这座荷兰目前规模最大光伏电站,对于正泰新能源而言,也显得格外有意义。”浙江正泰新能源开发有限公司总裁陆川向记者介绍说,从2019年初正式开工,到10月底完工、12月初成功并网。Midden Groningen 103MW电站的前期开发、设计、采购、施工建..."
正泰新能源陆川:光伏+的探索与求精,北极星太阳能光伏网,2019年4月11日,"北极星太阳能光伏网讯:4月11日,由浙江省杭州市政府与中国改革报社《能源发展》周刊联合主办的“第四届中国光伏+创新发展论坛”在杭州拉开帷幕。 会上,浙江正泰新能源开发有限公司总裁陆川主旨演讲《正泰光伏+的探索与求精》。陆川认为:..."
