title,source,time,summary
英利苗连生:亏损中赞助世界杯为哪般【2】,人民网,2014年7月4日,"当国内众多光伏企业降薪、裁员、停产时,英利却连续涨了几次工资。苗连生依旧坚持每天早上在大门口迎接员工上班,在企业内部大搞技术竞赛,召开万人誓师大会,并在一个月时间内,南下海南,北上天津,利用两口特制的大锅,为各厂区员工每人送上一..."
英利苗连生:不会学马云投资俱乐部 足球只是工具,赢商网,2014年7月2日,"核心提示:苗连生说,为什么世界杯有句话叫大热必死,主要因为心里不干净,虚的东西要得太多了。我是英利足球队的政委,他们踢输踢赢我都请他们喝酒。我绝对不会像马云一样投资足球俱乐部,足球只是我的工具。"
苗连生“烧钱”世界杯背后:英利连续3年亏损,人民网,2014年6月20日,"“因赞助世界杯而受益的,不仅上市公司英利新能源这部分业务,还包括苗连生的其他产业,如酒店、农业、贸易、物流和货运等等。”那位接近苗连生的人士说道。而英利集团的地产业务,就涉足房地产开发、安装工程、物业、房地产经纪等等。“这种收益..."
经济日报多媒体数字报刊,经济日报多媒体数字报刊,2013年9月28日,"在这个产业,大家都是新进入者,或跑或跳,你方演罢我登场,生生死死家常饭。但一路连跑带跳的英利却步态扎实。“诚信!”董事长苗连生平静地给出原因。但真正的诚信,被英利人做得至今听来仍是荡气回肠。"
苗连生:光伏希望在下游,北极星太阳能光伏网,2013年7月10日,"北极星太阳能光伏网讯:英利更希望政府能够加强规范和指引,为后续的平价上网创造条件,出台更多行业标准和规范。 虽然已经离开部队十几年,但苗连生的军人情结似乎并没有减少。英利2.6万名员工最常见的景象是,每天清晨苗连生带领英利的高管在..."
英利:危机之下 变者为王,OFweek维科网,2013年4月15日,"从国外的“双反”到国内的一片倒闭之声,让英利的老总们坐不住了。危机中,稳定军心是当务之急。 有这样一个段子至今仍被英利人津津乐道:在一个月时间内,该公司董事长苗连生南下海南、北上天津,利用两口特制的大锅,为各厂区员工每人..."
万钢赴保定英利集团调研太阳能光伏产业发展情况,中国政府网,2012年6月27日,"2012年6月17日,万钢部长在科技部党组成员、科技日报社王志学社长以及河北省张庆伟省长等领导陪同下,来到保定英利集团调研。万部长一行考察了英利集团单晶生产车间、藏羚羊电池生产线,并参观了企业产品展示大厅。英利集团苗连生董事长向万部长..."
英利苗连生:光伏想挣“快钱”者必出局,OFweek维科网,2012年6月19日,"每天清晨,英利集团董事长苗连生只要没有出差就会和公司十几位中层以上的经理站在各厂区门口列队迎接员工上班,与员工互问一声“早上好”,风雨无阻。 苗连生:保定天威英利新能源有限公司总裁兼首席执行官,中国可再生能源学会光伏委员会常务委..."
海职院与企业合办“英利班” - 海南日报数字报刊,海南日报数字报,2012年5月9日,"本报海口5月8日讯 (记者陈成智 通讯员符聪)今天上午,海南职业技术学院与海南英利新能源有限公司签订协议,确认将共同开办“英利班”。学生进校后即拥有“在校学生”和“企业员工”双重身份。"
2011胡润新能源富豪榜公布 朱共山再次问鼎,网易财经,2011年10月18日,"同时,太阳能产业也受金融危机影响很重。东方日升(15.770,-0.60,-3.67%)的仇华娟、林海峰母子以及天威英利的苗连生,从今年他们拥有的上市公司表现来看,不容乐观。财富相比去年分别下降了22%和61%。"
