title,source,time,summary
"财报|海澜之家:“少帅”周立宸掌舵后首份成绩单,线上增速超50%",腾讯网,9天前,"4月27日晚间,海澜之家股份有限公司发布2020年年报。这也是海澜之家“少帅”周立宸正式掌舵后的首份成绩单。 当期,在新冠疫情影响下,公司仍然实现营业收入179.59亿元,归属于母公司所有者净利润17.85亿元。"
海澜集团任命新任董事长:周立宸正式从父亲手里接棒,亿邦动力网,2020年11月25日,"【亿邦动力讯】11月25日消息,今日,海澜集团在新一届董事会暨海澜新零售启动仪式上宣布,任命周立宸为海澜之家股份有限公司和海澜集团董事长。集团创始人周建平与集团新任董事长周立宸在会上共同签署股权变更协议书。 【本文来源:Ebrun ..."
周立宸接任海澜之家董事长 新零售时代未来可期,金融界,2020年11月30日,11月25日下午，海澜之家召开“新零售启动仪式”，当日晚间，公司发布公告，海澜之家创始人周建平之子周立宸，就任海澜之家股份有限公司董事长。据公开资料显示，周立宸出生于1988年，毕业于清华大学经管学院金融系，毕业后就职于股权投资...
海澜之家换帅 董事长周建平辞职 其子周立宸接任,GPLP,2020年11月27日,据公开资料显示，周建平为海澜集团创始人，2002年5月开始担任海澜之家董事一职，2014年3月开始至2020年11月24日，担任海澜之家董事长一职。周建平辞职后，推举儿子周立宸为海澜之家新一任董事长。周立宸曾任海澜之家品牌管理有限公司...
上市公司再现二代“接班人”现象 “85后”周立宸正式执掌海澜之家,金融界,2020年12月1日,近日，海澜之家发布公告称，公司创始人周建平申请辞去公司董事长等职务，董事会选举周立宸为公司第八届董事会董事长。在海澜集团历练8年后，创始人周建平之子周立宸正式接过“帅印”。 艾媒咨询CEO张毅在接受《证券日报》记者采访时表示：...
"无野心不周立宸,无初心不海澜之家|“创二代”系列报道②",雷锋网,3月19日,从周建平到周立宸，海澜之家一直在不断自我革新，尤其是周立宸的多样性探索与数字化转型，更是让海澜之家走上了新的台阶。就在今年3月海澜之家2021年第一次临时股东大会会议上，公司将中文名称由“海澜之家股份有限公司”变更为“海...
"工商变更:周建平退出江阴市海澜投资控股有限公司法定代表人,由其...",donews,1月29日,"新一届董事会成立大会上,周建平眼含热泪告别奋斗23年的海澜之家,与下一代掌门人拥抱交班。 值得注意的是,1月19日,海澜之家股份有限公司发生工商变更,周建平退出法定代表人,由周立宸接任。"
"海澜之家发生工商变更,新任董事长周立宸接任公司法定代表人",新京报,1月20日,2017年，周立宸被任命为海澜集团总裁。在被任命为海澜之家董事长之前，周立宸已是海澜之家的副董事长。天眼查显示，目前周建平名下共有20多家公司，包括海澜集团有限公司、江阴海澜马文化发展有限公司等，周立宸目前关联1家公司。海澜...
32岁周立宸接班海澜之家 股价上涨1.95%,参考经济网,2020年12月22日,"海澜之家是海澜之家股份有限公司旗下的服装品牌,总部位于中国江苏省无锡市江阴市,主要采用连锁零售的模式,销售男性服装、配饰与相关产品。周立宸本科就读于清华大学金融专业,系海澜集团创始人周建平之子。如今接班海澜之家,我们一起来看看..."
"海澜新零售开启2.0时代,周立宸接任海澜集团新掌门",和讯网,2020年12月7日,"据海澜集团官微讯。11月25日下午,海澜集团在飞马水城举办“新起点 新开局 新征程——海澜新零售启动仪式暨新一届董事会成立大会”,会上宣布任命周立宸为海澜之家(600398,股吧)股份有限公司和海澜集团董事长。随着“海澜新零售启动仪..."
"接棒海澜之家董事长,周立宸将继续探索新零售创新模式",眼镜新财经,2020年11月28日,"这也标志着,周立宸顺利从父亲周建平手中全面接管上市公司。公开资料显示，周立宸毕业于清华大学经管学院金融系，2017年就任海澜集团总裁。本次接掌上市公司，周立宸表示,将积极探索海澜之家新零售，深挖社群流量，打通并融合线上线下渠道，..."
"做过两年VC后,32岁的周立宸正式回家继承海澜之家300亿家业",新浪财经,2020年11月27日,与此同时，公告显示，周建平分别与周立宸、周晏齐（周建平之女）签署了《股权转让协议》。转让完成后，海澜集团仍为上市公司海澜之家控股股东，持股40.88%。周建平、周立宸、周晏齐分别持有海澜控股28%、27%和5.9%股份，周建平仍为公...
“海澜之子”周立宸接掌海澜之家,中国经济周刊,2020年11月27日,本次交易完成后，海澜控股仍持有海澜集团100%的股权。周建平、周立宸、周晏齐分别持有海澜控股的股份比例为28.00%、27.00%和5.90%，周建平和周立宸、周晏齐为一致行动人，周建平为公司的实际控制人。自海澜之家2013年借壳凯诺科技...
创二代来啦|80后周立宸接班海澜之家 新掌门为企业注入年轻动能,羊城派,2020年11月26日,不同于大部分的民企二代，周立宸身上并没有“海归”“留学深造”等标签，2010年从清华大学金融专业本科毕业的他毕业后就去了上海一家股权投资基金公司。天眼查资料显示，周立宸从2012年回到海澜集团。回到集团之后，周立宸先后接管了广告部...
32岁周立宸接班海澜之家 周立宸是谁海澜之家衣服档次如何?,川北在线网,2020年11月26日,"2017年2月8日,29岁的周立宸接替周建平出任海澜之家集团总裁,周建平当时洒泪告别,并为儿子写下四个字:建功立业! 周立宸亲自参与短视频营销,他最近曾发过一个短视频,展示自己加入公司以来的心态转变,第一年是请同事多多指教,第二年是给..."
32岁周立宸接班海澜之家 库存减少经营状况逐季改善,综投网,2020年11月26日,"2000年12月28日在上交所挂牌上市。目前周建平名下共有20多家公司,包括海澜集团有限公司、江阴海澜马文化发展有限公司等,周立宸目前关联1家公司。 周杰伦代言伴随三季报披露,将服装行业龙头公司海澜之家(600398)推向了舆论场的中心。受..."
"经济学人全球头条:32岁周立宸接班海澜之家,迪士尼计划裁员3.2万人...",搜狐网,2020年11月26日,"11月25日,海澜之家发布公告,创始人周建平辞去公司董事长职务,其32岁儿子周立宸正式接班。新一届董事会成立大会上,周建平眼含热泪告别奋斗23年的海澜之家,与下一代掌门人拥抱交班。 迪士尼宣布在2021年上半年裁员3.2万人 ..."
海澜之家董事长辞职32岁周立宸接班;万达清空海外地产项目;阿里...,澎湃新闻,2020年11月26日,"1. 海澜之家董事长辞职32岁周立宸接班 海澜之家股份有限公司披露,因个人原因,公司董事长周建平辞职,一同辞去的还有董事会董事及战略委员会主任委员职务。辞职后,周建平将不再担任公司任何职务,其子周立宸接替其职务,成为海澜之家新任董事..."
海澜之家换帅 “85后”周立宸当选新任董事长,TOM资讯,2020年11月26日,"11月25日,海澜之家发布公告称,集团创始人周建平辞任董事长、董事等公司一切职务,同时召开第八届董事会第四次会议,选举其子周立宸为第八届董事会董事长及战略委员会委员,并担任战略委员会主任委员。"
海澜之家换帅:周立宸接替其父周建平,亿欧网,2020年11月26日,据海澜之家25日发布的关于公司控股股东上层股权结构变动的提示性公告，此次股权变动前，江阴市海澜控股持有海澜集团100%的股权，周建平、周立宸、周晏齐分别持有海澜控股的股权比例为52%、3.9%、5%。此次股权变动后，周建平、周立宸、周...
周立宸接任海澜之家法定代表人,同花顺财经,1月20日,企查查APP显示，1月19日，海澜之家发生工商变更，创始人周建平退出法定代表人，由其子周立宸接任，同时公司经营范围新增“互联网销售、品牌管理、企业管理咨询、信息系统集成服务、软件开发、互联网数据服务”等。来源: 同花顺金融研究中心 ...
