title,source,time,summary
海马郑州新能源提速 电动汽车试运行在即,网易汽车,2010年4月23日,"海马集团副总裁、海马郑州总经理孙忠春表示,随着全球能源日益紧缺以及环保压力的日益增大,新能源汽车的研发和生产已经成为当今世界汽车工业发展的一个重要趋势,海马郑州积极响应国家新能源汽车战略计划,希望与其他车企一同推动节能和新能源汽车..."
海马汽车集团股份有限公司2018年度报告摘要,搜狐网,2019年4月23日,"1、名称:郑州海马新能源汽车销售有限公司 2、成立日期:2016年7月15日 3、住所:郑州经济技术开发区航海东路1689号 4、法定代表人:孙忠春 5、注册资本:2,000万元 6、经营范围:汽车、新能源动力汽车模块系统零部件销售;汽车租赁;汽车装饰..."
"海马汽车,没有400套房产的公司不是好公司",观点,2019年5月16日,"5月15日晚,海马汽车股份有限公司发布公告,经董事会十届九次会议决定,景柱重新当选海马汽车董事长,孙忠春出任公司首席执行官(CEO)。作为海马汽车的创办人,景柱拥有30多年的造车经验,并且对海马汽车也有着特殊情怀 面对海马汽车的低迷,景..."
海马汽车能否起死回生|汽车热点脉络,搜狐网,2019年8月27日,"网通社从海马集团获悉,景柱重新当选海马汽车董事长,原海马汽车董事长孙忠春去职,将担任海马汽车首席执行官(CEO)。景柱作为海马汽车的创办人,拥有30多年的造车经验,而此次景柱回归旨在解决海马汽车销量下滑,以及长期积淀的诸多历史遗留问题..."
"为什么有本事给小鹏代工的海马,却没有一款拿得出手的电动汽车?",OFweek维科网,2019年5月9日,"更有意思的是,此前海马汽车董事长孙忠春曾经在公开场合比喻海马正在经历第四次创业。2018年,海马新能源汽车实现了73%的同比增长,但全年销量仅为1.05万辆,而2019年甚至都没有新能源新车的推出时间表。"
危险的海马汽车:两年巨亏26亿被带帽 技术投入不够,腾讯网,2019年5月7日,"但针对同为强动力SUV车型S8与S5的区别,海马汽车未做回复。 海马汽车董事长孙忠春曾经在公开场合比喻海马正在经历“第四次创业”。2018年,海马新能源汽车实现了73%的同比增长,但全年销量仅为1.05万辆,而2019年甚至都没有新能源新车的..."
一年第八次同比下滑 海马汽车何时止损?,腾讯网,2018年4月10日,"2017年底,原海马商务汽车有限公司更名为海马新能源汽车有限公司,而海马的新能源车业务也开始从海口基地迁往郑州。一位原海马新能源部门员工透露,今年上半年,公司开始要求员工从海口迁往郑州公司工作,不去的员工要自行在公司其他部门找到职位,..."
秦全权接任海马汽车董事长,中国新闻网,2013年8月12日,"8月6日,海马汽车发布董事会决议称,海马汽车集团股份有限公司董事会以现场和通讯表决相结合的方式,选举秦全权为公司董事长;聘任孙忠春为公司执行总裁,孙忠春不再担任公司副总裁职务;聘任林明世为公司副总裁、副总裁肖丹兼任公司财务总监,赵树华..."
小鹏收购福迪 海马“人财两空”,引擎YQ,2020年4月2日,此外在当年小鹏G3上市的现场上，彼时还任海马汽车董事长一职的孙忠春就现身为其站台，从这个细节足以表现海马汽车对这份合作的重视，除了经济上的原因，在擎哥看来，帮助新势力代工对于传统品牌来说也能在一些造车技术上“取经”。比如...
披星戴帽 海马真的是战略性亏损?,车神探,2019年4月25日,"故此,综合来看,海马的连年亏损似乎不足以让人气馁,而这种亏损的形式被更多的解释总结为“战略性亏损”。 不过,让人唏嘘的是,混迹汽车市场长达30年余年的海马,仅消两年的时间,就由盛转衰。而实际上,2018年初,海马董事长孙忠春就定..."
海马郑州新能源提速 电动汽车试运行在即,网易汽车,2010年4月23日,"海马集团副总裁、海马郑州总经理孙忠春表示,随着全球能源日益紧缺以及环保压力的日益增大,新能源汽车的研发和生产已经成为当今世界汽车工业发展的一个重要趋势,海马郑州积极响应国家新能源汽车战略计划,希望与其他车企一同推动节能和新能源汽车..."
