title,source,time,summary
汪建平会见特变电工党委书记、董事长张新,澎湃新闻,10天前,"4月27日下午,中国铁建党委书记、董事长汪建平在中国铁建大厦会见到访的特变电工股份有限公司党委书记、董事长张新一行,双方就进一步深化有关领域合作进行了座谈交流,并达成共识。 汪建平对张新一行到访表示欢迎,并介绍了中国铁建基本情况..."
特变电工股份有限公司关于召开2020年年度暨2021年一季度业绩说明...,网易,4月23日,"为便于广大投资者更全面深入地了解公司2020年度及2021年一季度经营成果、财务状况,公司计划于2021年4月30日下午15:30-16:30通过上证路演中心以网络方式召开“特变电工2020年年度暨2021年一季度业绩说明会”,就投资者普遍关注的问题进行..."
吴伟章率队拜访特变电工,同花顺财经,4月14日,"4月12日,哈电集团党委副书记、总经理吴伟章率队拜访特变电工(600089)股份有限公司(简称“特变电工”),与特变电工党委书记、董事长张新就进一步深化合作举行了座谈交流。特变电工总裁黄汉杰,总会计师白云罡参加座谈。"
特变电工2020年净利增长23.21%:董事长张新薪酬316.73万,金融界,4月14日,"公告披露显示经信永中和会计师事务所（特殊普通合伙）审计，2020年度本公司（母公司）实现净利润756,790,938.98元，根据《特变电工股份有限公司章程》规定，提取10%的法定公积金75,679,093.90元，加以前年度未分配利润，2020年度可供股东..."
特变电工股份有限公司2021年第三次临时股东大会决议公告,网易,4月13日,本次会议的召集召开及表决方式符合《公司法》、《证券法》、《上市公司股东大会规则》等法律、法规、规范性文件及《特变电工股份有限公司章程》(以下简称《公司章程》)的有关规定。 (五)公司董事、监事和董事会秘书的出席情况...
"...访全国人大代表,特变电工股份有限公司党委书记、董事长张新",中国电力网,3月12日,"您认为未来国家电网有限公司在“走出去”的过程中,将为上下游企业带来什么机遇?特变电工股份有限公司和国家电网公司将在哪些方面开展合作? 张新:国家电网公司积极参与“一带一路”建设,实施国际化发展战略,先后在多个国家和地区开展基础..."
包头市政府与特变电工股份有限公司签订合作协议,腾讯网,2月10日,"2月8日,市政府与特变电工股份有限公司签订战略合作协议。自治区党委常委、市委书记孟凡利出席签约仪式并会见了新疆特变电工股份有限公司党委书记、董事长张新,特变电工股份有限公司党委委员、总裁,新能源产业总经理黄汉杰一行。"
特变电工:特变电工股份有限公司关联交易公告,同花顺财经,2020年11月20日,"过去12个月与同一关联人开展的关联交易情况:2020年1-10月,公司接受新疆特变电工房地产开发有限公司(以下简称特变房产)及下属公司提供劳务等服务,发生日常性关联交易1,027.88万元;公司向特变房产及下属公司提供租赁服务及销售商品等业务..."
"邓群策会见特变电工董事长张新一行:携手深化合作,实现共赢发展",衡阳日报社官网,2020年6月11日,"衡阳日报讯(记者 文/陈润 图/罗盟)6月10日下午,市委书记邓群策会见到访的特变电工股份有限公司党委书记、董事长张新一行,双方就特变电工南方智能电网科技产业园项目推进及开展进一步合作进行了深入交流。双方一致表示,将携手深化合作,实现..."
全国人大代表、特变电工董事长张新 聚焦服务“六稳”“六保...,全国能源信息平台,2020年5月27日,记者：特变电工作为电工装备骨干企业一直走在改革发展创新路上。您如何看待国家电网公司建设具有中国特色国际领先的能源互联网企业的战略目标？张新：国家电网公司的战略目标践行了习近平总书记“四个革命、一个合作”能源安全新战略。“具有...
"特变电工:新疆宏联创业投资有限公司解除质押9703万股,7000万股...",腾讯网,3月30日,"每经AI快讯,特变电工(SH 600089,收盘价:11.44元)3月30日晚间发布公告称,公司股东新疆宏联创业投资有限公司将其所持公司股份的7000万股进行了质押延期,占其所持股份比例为27.54%。公司股东新疆宏联创业投资有限公司于2021年3月30日..."
特变电工荣获“全国脱贫攻坚先进集体”荣誉称号,中国证券网,2月26日,"上证报中国证券网讯 2月25日上午,全国脱贫攻坚总结表彰大会在北京人民大会堂隆重举行,大会对在打赢脱贫攻坚战中作出突出贡献的全国脱贫攻坚先进个人、先进集体进行表彰。特变电工股份有限公司党委书记、董事长张新参加表彰大会,特变电工荣获“..."
特变电工:2020年第七次临时董事会会议决议公告,证券之星,2020年9月8日,"本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏,并对其内容的真实性、准确性和完整性承担个别及连带责任。          特变电工股份有限公司于2020年9月3日以电子..."
"特变电工:打造战略性新兴产业集群,推动高质量发展",新疆新闻在线网,2020年8月2日,"新疆新闻在线网8月2日消息(记者李维、高梦辉、昌吉台记者朱丽君):特变电工股份有限公司坚持创新发展,打造以能源为基础的输变电高端制造、新能源、新材料“一高两新”国家三大战略性新兴产业集群,抢占产业制高点,推动企业高质量发展。"
全国人大代表张新: 完善核心装备研发保障机制,腾讯网,3月11日,"——访全国人大代表,特变电工股份有限公司党委书记、董事长张新 两 会 建议继续加强特高压交流项目建设,加大特高压交流核心关键技术及设备研发力度,推进国家坚强电网建设。 “今年的全国两会,我围绕能源领域提出的建议是关于加快特高压关键..."
张新代表:投身一带一路建设 打造优质海外工程,新浪财经,2020年5月28日,”与经济日报记者连线时，全国人大代表、特变电工股份有限公司党委书记、董事长张新满怀信心地表示。他说，“特变电工一直将科技创新作为企业发展，以及开拓海外市场的法宝。特别是通过积极投身一带一路建设，拓展了发展空间。”张新说，...
张新代表:科技创新赋能“新基建”高质量发展,网易订阅,2020年5月26日,"5月22日,十三届全国人大三次会议在京开幕,全国人大代表,特变电工股份有限公司党委书记、董事长张新与新疆各界代表们带着全疆2300万各族人民重托,满怀信心参加盛会,履行职责,建言献策。 张新颇有感慨地对记者说:“肩上压着沉甸甸的责任..."
两会人物|毛伟明、舒印彪、张新等电力领域的代表委员名单更新,全国能源信息平台,2020年5月22日,国网河南省电力有限公司董事长、党委书记王金行 国网黑龙江省电力有限公司董事长、党委书记李永莱 国家电网管理学院党委书记、常务副院长于金镒 国网安徽省电力有限公司董事、总经理张凡华 新疆特变电工股份有限公司董事长张新 ...第十三...
"...访全国人大代表,奥克斯集团有限公司党委书记、董事长郑坚江",中国电力网,3月11日,"此外,在市场机制的调节作用下,节能减排成本的逐渐提高,极大刺激了减排新技术研发,可以促进环保产业快速发展。 记者:在“碳达峰、碳中和”背景下,您认为作为央企的国家电网公司在电网技术创新方面承担着怎样的责任,应当有何作为?"
代表委员高度评价国家电网 “碳达峰、碳中和”行动方案(四)【两会...,国际电力网,3月11日,"全国人大代表,特变电工股份有限公司党委书记、董事长张新: 实现“碳达峰、碳中和”目标,能源电力是重点领域。国家电网作为关系国民经济命脉和国家能源安全的国有重点骨干企业,积极作为、率先垂范,提出能源电力落实“碳达峰、碳中和”实施路..."
透视两会能源提案|“碳中和”将成为核心议题,腾讯网,2月25日,"全国人大代表,特变电工股份有限公司党委书记、董事长张新: 推动‘疆电外送’特高压第四通道建设。支持“疆电外送”特高压新通道建设,有利于提高新疆现有电力设施利用率,提升新疆地区清洁能源开发与消纳及煤炭资源高效利用,拉动新疆经济发..."
