title,source,time,summary
"隆基股份今日涨停,总值3222亿,总裁李振国465亿稳坐西安首富",随心写,2020年12月21日,那就是是否在创造真正的价值，这个价值是否有益于社会的整体繁荣。李振国创立的隆基股份在为国家减少碳排放做出巨大贡献，为新能源代替旧能源做出贡献，时间会给予隆基股份、李振国巨大的奖励。相信坐落于西安的隆基股份。
讷河市政府与西安隆基新能源有限公司签署战略合作框架协议,澎湃新闻,2020年11月13日,"12日,西安隆基新能源公司总经理陈鹏飞带队的考察组深入讷河市,对太阳能光伏发电项目进行洽谈。讷河市市长李传柱陪同考察。 考察组先后到象屿农产有限公司、二克浅镇远大村万亩大棚智能温室项目和撤屯并村集中安置区、黑龙江华瑞生物制药项目..."
西安隆基新能源有限公司 参评“维科杯·OFweek2019 卓越/优秀...,OFweek维科网,2019年10月18日,"本次评选活动将于10月21日- 11月1日进入网络投票环节,最终获奖结果将于11月21日在深圳举办的“OFweek 2019(第十届)太阳能光伏产业大会暨年度评选颁奖典礼”上公布。 目前已吸引众多业内企业积极参评!其中西安隆基新能源有限公司已正式..."
...隆基斥资30亿逆势扩张5GW产能并配股募资39亿陕西首富李振国...,东方财富网,2018年8月4日,"根据胡润研究院《2018胡润全球富豪榜》, 排在今年胡润全球富豪榜第1223位的李振国、李喜燕夫妇,拥有财富145亿元人民币,成为陕西新首富。 配股预案显示,本次发行的募集资金到位前,公司可根据自身发展需要并结合市场情况利用自筹资金对募集资金..."
"西安知名的4大富豪,身价最少为230亿,李振国以475亿排第一",时事新论,2020年11月21日,在最新的富豪榜上，李振国、李喜燕夫妇以475亿元财富登上了陕西首富宝座。第二位：李春安。李春安是西安隆基硅材料股份有限公司的董事长，是中国重型机械工业协会“协会工作先进个人”、中国机械工业科学技术二等奖和北京市科学技术一等奖获得...
煤企巨头大力转战新能源 “单晶王者”隆基股份获陕西煤业巨额增持,经济观察报,2019年1月19日,"这也意味着,如果新一轮增持计划顺利,陕西煤业将超越当前第二大股东持有者李春安(持股11.07%),成为仅次于李振国(隆基股份实际控股人,持股15.14%)的新“第二大股东”。 而在此之前,陕西煤业刚刚完成对隆基股份的第一轮增持计划(2018年..."
陕西最大煤企举牌隆基股份 花费27亿元只为布局新能源?,界面新闻,2018年1月17日,该公司也表示，2017年全年度的净利润有望较2016年实现大幅度增长。此次陕西煤业举牌隆基股份，不会对隆基股份的股权结构产生太大影响。陕西煤业举牌后依旧为隆基股份第四大股东。截至2017年9月30日，隆基股份前三大股东分别是李振国、李春安...
聚焦|隆基李振国、中石化张玉卓等央视《对话》畅谈氢能,北极星太阳能光伏网,4月19日,"北极星太阳能光伏网讯:4月17日,央视财经频道CCTV-2播出《对话》特别节目——《碳中和倒计时:氢能之热》,隆基股份总裁李振国、明阳集团董事长张传卫、中石化集团董事长、党组书记张玉卓、国家电投集团氢能科技发展有限公司董事长、党委书记李..."
隆基股份:李振国解除质押3000万股,腾讯网,4月16日,"每经AI快讯,隆基股份(SH 601012,收盘价:85.35元)4月16日晚间发布公告称,公司控股股东李振国于2021年4月15日将质押的公司股份3000万股解除质押。 2019年年报显示,隆基股份的主营业务为新能源行业,占营收比例为:100.0%。 隆基股份的..."
"专访隆基股份总裁李振国,用创新守护地球 让阳光更具价值",中国水网,4月12日,"专访隆基总裁李振国:用创新守护地球,让阳光更具价值#福布斯 #隆基 #新能源 视频号 在交货量和国内资本市场这两方面的成功也使其创始人跻身于全球最成功的商业领袖行列。其董事长李振国(身家105亿美元)是三位登上2021年福布斯亿万富豪榜..."
隆基绿能科技股份有限公司,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2017年3月11日,"全球新能源企业 500 强""自主创新奖"" 和""市场开拓奖"" ,2016 年度""北极星...李振国先生 ,李喜燕女士 ,李春安先生为一致行动人 ,公司未知上述其他股东 ...公司债券情况 6.1 公司债券基本情况 债券名称 简称 西安隆基硅 材料股份有..."
隆基李振国:光伏+储能是人类未来能源的终极解决方案,搜狐网,2018年11月9日,"隆基总裁李振国先生受邀出席并在会议上发表致辞。 以下为致辞原文: 各位领导,各位专家,光伏行业的同仁们: 大家早上好! 欢迎来到古城西安。 我今天没有演讲稿,我就讲一讲我怎么看待这个行业。"
全球知名公司24小时动态丨中国船舶集团签造船大单;隆基股份入局...,每日经济新闻,4月6日,隆基股份（最新市值3437亿元）：据世纪新能源网报道，工商注册系统显示，西安隆基氢能科技有限公司于2021年3月31日注册成功，股东为西安隆基绿能创投管理有限公司和上海朱雀嬴私募投资基金合伙企业（有限合伙），隆基股份创始人李振国亲自担任...
隆基股份联手朱雀基金新设子公司 正式布局氢能业务,金融界,4月5日,光伏龙头之一的隆基股份（601012）正式杀入氢能领域。近日，隆基股份联合朱雀基金成立了氢能子公司，新设子公司注册资本3亿元，管理团队由隆基股份创始人李振国领衔。隆基股份人士告诉证券时报·e公司记者，未来，光伏制氢空间潜力很大，新设子...
隆基股份:为全资子公司隆基乐叶、宝鸡隆核提供37.75亿元担保,每日经济新闻,2月26日,2019年年报显示，隆基股份的主营业务为新能源行业，占营收比例为：100.0%。隆基股份的董事长是钟宝申，男，54岁，中国国籍，大学本科学历。 隆基股份的总经理是李振国，男，53岁，研究生学历。道达号“个股趋势”提醒：1. 隆基股份近...
中央等媒体采访团专题报道楚雄隆基公司,搜狐网,2020年9月21日,"在媒体座谈会上,新华社、中国改革报、中国能源报、中国经济时报等媒体记者围绕太阳能光伏产业、绿色经济、产城融合及楚雄州和禄丰县下步具体打算和做法进行了现场提问。就各级媒体关心关注的问题,西安隆基公司总裁李振国、州人大常委会主任任..."
"隆基股份李振国,用阳光创造奇迹|最佳CEO榜",福布斯中国,2020年8月11日,经过深入调研后，李振国专注单晶技术路线。如果说，专注单晶是基于对行业趋势的认可和对自我实力的认知，之后便是专注与不舍，拼搏与进取，隆基股份几经风雨，屹立不倒，且不断加速布局。据彭博预测，未来30 年太阳能在全球能源中的占比...
热线旁听|3500亿市值的隆基股份“交流纪要”谈了些什么?,蓝筹企业评论,4月23日,氢能方面，隆基股份的全资子公司隆基绿能创投在今年3月31日与上海朱雀投资在西安合资成立隆基氢能，李振国亲任公司董事长，算是正式进入氢能领域。未来的能源格局中，氢能在新能源格局中也将占据一席之地，目前氢能产业应用仅仅处于初步发展。
隆基股份与中国石化签署战略合作协议 全面开拓清洁能源应用市场,搜狐网,4月14日,"中国石化董事长、党组书记张玉卓,中国石化党组成员、副总经理凌逸群、李永林,隆基股份创始人、总裁李振国,隆基清洁能源董事长张长江,隆基新能源董事长唐旭辉等见证了此次签约仪式。中国石化总经理助理、发展计划部总经理戴照明与隆基股份战略管..."
"隆基股份正式进军氢能产业,“光伏制氢”前景几何?",北京时间财经,4月7日,近日，光伏巨头隆基绿能科技股份有限公司（下称“隆基股份”）联手上海朱雀嬴私募投资基金合伙企业（有限合伙）成立西安隆基氢能科技有限公司（以下简称“隆基氢能”），隆基创始人李振国担任该公司董事长、总经理。该事件标志着3400亿光伏龙头...
联手私募巨头 光伏巨头隆基股份入局氢能,新浪财经,4月7日,股东为西安隆基绿能创投管理有限公司和上海朱雀嬴私募投资基金合伙企业（有限合伙），隆基股份创始人李振国担任董事长、总经理。公司经营范围包括气体、液体分离及纯净设备制造；新兴能源技术研发；节能管理服务；技术服务、技术开发、技术咨询、...
"隆基股份联手私募巨头布局光伏制氢,万亿级新市场拉开序幕",研报院,4月5日,"世纪新能源网消息，工商注册系统显示，西安隆基氢能科技有限公司于2021年3月31日注册成功，股东为西安隆基绿能创投管理有限公司和上海朱雀赢私募投资基金合伙企业(有限合伙),隆基创始人李振国亲自担任董事长、总经理，标志着4000亿光伏龙头隆基..."
5000亿市值可期 隆基产业链上的“缺口”,搜狐网,2月8日,"1990年,李振国从兰州大学物理系毕业,毕业后从事单晶工作。这对后续隆基的路线选择有着一定的影响,却非主要影响。 2000年,李振国创办西安新盟电子科技有限公司,该公司也就是现在隆基股份的前身。用隆基官网上语言概括——隆基初创,致力于半导..."
"陕西首富:同行纷纷破产,而他却把“单晶硅”做成全球最大生意!",蒋东文,1月30日,这家2000 年在陕西西安创立的西部企业死磕单晶硅，从零开始，经过20年的发展，成为了全球单晶光伏龙头、全球市值最高的光伏企业，问鼎“全球新能源企业500强”，在全球光伏企业中，有40%的单晶硅片产能来自隆基股份。而李振国也成为不折不...
开局“十四五” | 陕西如何从制造大省到制造强省,澎湃新闻,1月28日,"2020年12月16日,工人在隆基太阳能电池片制绒生产线上作业。袁景智摄 突出主业做大支柱 构建富有陕西特色的现代产业体系 作为全球太阳能光伏龙头企业,隆基股份成功的秘诀就是突出主业。用隆基股份总裁李振国的话说,他这一辈子只专注研制单晶..."
央视二套聚焦隆基股份 分布式光伏前景广阔,网易,1月25日,"“10年以前这个硅片大概要100元,比这还要小一点;但是今天它只要3块多钱的价格。”隆基股份总裁李振国说,正是因为单晶硅片的价格降低,才推动了整个光伏行业成本下降。所以,今天在全球绝大多数国家和地区,光伏发电已经成为当地最便宜的电力..."
8年涨65倍 隆基的财富密码:首富夫妻和“兰大合伙人”,网易订阅,1月21日,"据媒体报道,2000年,李振国创办西安隆基硅材料股份有限公司,2006年,钟宝申(现为隆基股份董事长)和李春安(现为隆基股份大股东)先后离开沈阳,加入西安隆基。随后,隆基股份于2012年顺利上市。 兰州大学官网2019年1月的一篇文章中写道: ..."
谁是西安民企榜首?,陕西法制网,2020年12月23日,今年市场表现最为耀眼的当属隆基股份，短时间内市值连续突破，以市值来看，隆基股份已经成为全球身价最高的光伏企业。亮眼的表现不仅让李振国、李喜燕夫妇成为陕西的新首富，财富实现150%的增长，也让李春安财富实现147.6%的增长，让钟宝申...
高瓴高位接盘隆基股份的“隐情”,搜狐网,2020年12月22日,"消息面上,隆基股份20日公告称,股东李春安拟向高瓴资本转让其持有的6%公司股份。转让完成后,高瓴持股6%,将成为仅次于隆基股份创始人、总裁李振国的第二大股东。 表面上看,此次转让是高瓴在新能源领域的又一次重磅布局,然而背后或许还有一..."
158亿杀入VS188亿套现!隆基买卖之张磊李春安光伏大棋局,东方财富网,2020年12月21日,原标题:158亿杀入VS188亿套现!隆基买卖之张磊李春安光伏大棋局 最新价:99.4 涨跌额:5.3 涨跌幅:5.63% 成交量:81.1万手 成交额:80.1亿 换手率:2.10% 市盈率:38.4 总市值:3843亿...
"陕西首富80倍牛股吸金!高瓴豪掷158亿,上位第二大股东",手机凤凰网,2020年12月20日,"李春安与李振国是同学关系,他们同于1990年毕业于兰州大学本科物理系。2020年胡润百富榜显示,李振国、李喜燕夫妇以475亿元财富位居第90位,是陕西首富;李春安以260亿元财富排在第197位。 针对本次权益变动情况的影响,隆基股份表示,不会导致..."
让“西安制造”再迎高光时刻,环球网,2020年11月6日,"“‘十四五’期间,我们将重点推动重型卡车智能化、轻量化和电动化,运用新材料、新技术和新能源,降低卡车重量、油耗,提升舒适性和安全性。”刘水库谈及未来规划时说。 隆基股份西安电池工厂的工作人员在生产线上工作(11月2日摄)。新华..."
陕西煤业“不务正业”靠这种方式实现三季净利润破百亿!,搜狐网,2020年10月20日,"今年在隆基股份的半年报中,陕西煤业直接持有隆基股份3.88%股权,以西部信托·陕煤-朱雀产业投资单一资金信托,持有隆基股份4.81%的股权,陕西煤业合计对隆基股份持股8.69%,是除了隆基股份控股股东李振国之外的第二大股东。按照隆基股份3000..."
"隆基股份市值超3000亿元,成为有史以来市值最高光伏企业",潇湘晨报,2020年10月9日,隆基创始人、隆基股份总裁李振国 隆基总部位于陕西西安，生产基地包括宁夏银川和中宁、江苏无锡、云南楚雄、保山和丽江等地，自2015年起已发展成为全球生产规模最大的单晶硅产品制造商。根据光伏行业协会统计，2019年单晶硅片出货量90GW（1GW=...
光伏产业链突进:隆基股份闭环之战,搜狐网,2020年8月8日,"隆基股份总裁李振国强调,公司未来不会大规模持有光伏电站。 王英歌也告诉21世纪经济报道记者,隆基股份的“垂直一体化”是基于产品应用范围的扩大。 “目前,硅片和组件的制造业务仍是隆基股份的核心主业,电站解决方案和BIPV等新能源产品目前还..."
陕西省单体最大太阳能电池工厂经开区投产,中国日报网,2020年7月3日,陕西隆基乐叶电池项目的成功投产，必将有力推动我市新能源产业规模化、集群化发展，为做大做强工业经济、加快建设先进制造业强市提供重要支撑，也是推动大西安全面加快建设先进制造业强市的重要举措。据悉，隆基绿能科技股份有限公司成立于...
