title,source,time,summary
许继电气监事会主席张旭升辞职 肖忠文等2董事同日离任,和讯股票,2017年8月21日,"和讯股票(微信号:istocknews)消息 8月21日晚间,许继电气发布公告称,监事会近日收到监事会主席张旭升先生提交的书面辞职报告,因工作分工变动,张旭升先生提出辞去公司监事会主席及监事职务,辞去以上职务后,张旭升先生将不再担任公司的其他职..."
许继电气股份有限公司公告(系列),证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2020年11月17日,"经公司独立董事事前认可,同意将该事项提交公司八届十二次董事会审议。公司5名关联董事张旭升先生、孙继强先生、张学深先生、杜丹丹女士和檀国彪先生对该议案进行了回避表决,公司4名非关联董事表决通过该项议案。公司独立董事对该事项发表了独..."
许继电气股份有限公司八届十次董事会决议公告,网易订阅,2020年9月29日,"经公司独立董事事前认可,同意将许继电源有限公司购买许继集团有限公司机器设备暨关联交易事项提交公司八届十次董事会审议。公司5名关联董事张旭升先生、孙继强先生、张学深先生、杜丹丹女士和檀国彪先生对该议案进行了回避表决,4名非关联董事任..."
许继电气:关于现金收购中电装备山东电子有限公司100%股权暨关联...,同花顺财经,2020年5月21日,"本次交易不符合《上市公司重大资产重组管理办法》规定的情形,不构成重大资产重组。 二、关联方基本情况 1.交易对方基本情况 企业名称:许继集团有限公司 法定代表人:张旭升 注册资本:319039.50万元 ..."
许继电气控股股东中标3.7亿元三峡合同 助推上市公司业绩增速转正,金融界,2019年10月1日,"此外《电鳗快报》注意到,在许继电气发布中标公告当天还发布了该公司七届二十九次董事会决议的公告,同意张旭升先生、孙继强先生、檀国彪先生、张学深先生、陈贵东先生、任志航先生为公司第八届董事会非独立董事候选人,同意尹项根先生、翟新生..."
许继集团获批发行10亿元可交债,腾讯网,3天前,"【大河财立方消息】5月5日,许继电气公告,其控股股东许继集团以其持有的部分许继电气A股股票为标的,申请非公开发行不超过10亿元人民币的可交换公司债券,已获得深圳证券交易所出具的《关于许继集团有限公司……"
许继集团准备与中国西电集团有限公司筹划战略性重组,国际电力网,2020年12月24日,"12月24日,许继电气发布关于控股控东筹划重大事项的提示性公告,公告称:许继集团正在与中国西电集团有限公司筹划战略性重组,有关方案尚未确定,方案亦需获得相关主管部门批准。 许继集团有限公司是国家电网公司直属产业单位,是专注于电力、自动..."
许继电气:控股股东许继集团正与中国西电集团有限公司筹划战略性重组,人民资讯,2020年12月23日,证券时报e公司讯，许继电气(000400)12月23日晚公告，公司接控股股东许继集团通知：许继集团正在与中国西电集团有限公司筹划战略性重组，有关方案尚未确定，方案亦需获得相关主管部门批准。
"后疫情时代下的“内循环” ,浙江鼎力&许继集团达成战略合作意向!",慧聪网,2020年8月20日,"许继集团董事长张旭升与浙江鼎力董事长许树根各自携核心团队成员在许继总部洽谈。 许继集团 作为专注于电力的高科技现代产业集团,产品涵盖电力装备七大领域,远销48个国家和地区,拥有专利2300余项,是国家电网系统重要参与者及标准制定者。"
许继电气:与许继集团有限公司签订日常关联交易总体协议,同花顺财经,2020年5月20日,许继电气公告称，公司与许继集团有限公司签订日常关联交易总体协议，在日常生产经营中，就购买原材料及燃料动力，销售产品、商品、服务，提供或接受劳务，提供或接受租赁，销售业务协作等方面。来源: 同花顺金融研究中心 ...
