title,source,time,summary
深度解读:谋布长城汽车全球发展 魏建军居安思危的智慧和能力,中国财富网,2020年7月20日,电影中，已逾知天命之年的长城汽车掌门人魏建军，如同一个面壁者，早已洞悉汽车产业的终极奥秘，为长城汽车的未来谋局。方法总比困难多 30年前，小城保定一家名为长城工业公司的企业因为200万元债务奄奄一息。在“万元户”相当于超级富豪...
"从“汽车狂人”到“企业医生”,魏建军要为长城汽车开刀?",同城汽车,2020年7月17日,在魏建军眼中，看着长城汽车历经30年成长为千亿级汽车集团，从未有丝毫懈怠。就如，哈弗成为中国SUV的领导者，成功突破了中国品牌头上的天花板，终结了合资品牌暴利时代。很多人认为长城汽车或许已经有实力跟外资、合资品牌掰手腕，是最有希望...
"狼来了!“汽车大佬”魏建军搅局地产,长城实业五年要干到千亿",搜狐网,2020年6月25日,"汽车大佬魏建军也将被起诉数千亿 魏建军从事房地产行业已有很长时间,但他在房地产领域的知名度远不及长城汽车。 根据天眼闸的数据,保定长城控股集团有限公司持有魏建军的99%股权,共有三个主要从事房地产开发的平台公司,其中包括保定长城实业..."
魏建军出席中国汽车蓝皮书论坛:长城汽车正在加速机制变革,每日甘肃,2020年8月11日,近两年，长城汽车在组织、营销变革方面动作频繁。在组织创新上，魏建军表示，智能化组织和传统组织有非常大的不同，长城汽车在着力推进公司化运营，将做智能网联和自动驾驶的两个团队进行重新划分，做到“双智融合”。同时长城汽车按照“两...
"魏建军构筑“科技长城”生态链,长城汽车“新四化”变革取得突破",爱搜车,2020年7月30日,”长城汽车魏建军技术品牌发布会上这样说。在引起汽车业界内外强势围观的技术品牌发布会上，长城汽车重磅发布“柠檬”、“坦克”、“咖啡智能”三大技术品牌，正式宣告向全球化科技出行公司转型。伴随着大数据、云计算、5G、人工智能等新兴...
魏建军强力主导长城汽车自我革命:从制造商转向全球科技出行公司,智灵财经,2020年7月21日,在华安远见投资顾问公司的汽车产业研究员齐力看来，全球汽车产业大变局正在汹涌而至，“变”必将成为随之而来的关键词，主动求变的长城汽车在对未来路径的抉择中又一次赶在了潮头。7月20日，魏建军用实际行动向外界展示了长城汽车“转型...
自主品牌遇“存亡之秋” 长城汽车魏建军的“正面应对”,中国经营报,2020年7月18日,对于自主品牌如何迎接下一个10年甚至30年?魏建军在《致长城汽车小伙伴的一封信》中发表了自己的见地，“变革是长城汽车没有选择的选择。必须完成从‘中国汽车制造企业向全球化出行科技公司’的蜕变。”基于深刻洞察，魏建军提出长城汽车内部...
长城汽车董事长魏建军:向全球化出行科技公司蜕变,金融界,2020年7月16日,魏建军表示，汽车行业正在发生革命性变化，尤其是在疫情下，每一个车企的生存空间都在被逐渐挤压，中国品牌发展的窗口期已经关闭，在外资品牌和造车新势力的合围之下，要想顺利地度过寒冬绝非易事。根据长城汽车的规划，2020年，公司从...
自驱变革 魏建军发表公开信:长城汽车如何挺过明年,中国经济网,2020年7月16日,面对波诡云谲的前路，魏建军在信中说道，“我们必须进行一次‘脱胎换骨’式的改变，完成从‘中国汽车制造企业向全球化出行科技公司’的蜕变。”魏建军直指关系企业命脉的核心，提出长城汽车要进行机制创新、对企业组织和文化的基础层动刀、...
魏建军扪心自问:造车30年的长城汽车能挺过明年吗?,汽车观察家,2020年7月14日,确实，在业界和媒体人眼中，魏建军和长城汽车确实值得好好庆祝一番。因为长城汽车这30年的成就如日中天，有目共睹。专注于SUV领域的长城汽车，其主力产品哈弗H6长期占据国内SUV销量榜冠军，豪华SUV品牌，以魏建军姓氏命名的“WEY”也已经...
长城汽车没有“老总” 魏建军不再是“魏总”?,新浪财经,2020年9月10日,8月，在第十二届中国汽车蓝皮书论坛上，长城汽车董事长魏建军表示：“对长城汽车来说，挑战最大的是体制、机制、文化的变革。”从一线的员工到集团高层，必须打破这些枷锁，从顶层设计上打破规则，真正获得蜕变。“我们是理想主义者，理想...
A股总市值超2600亿元 魏建军:长城汽车目前市值仍被低估,每日经济新闻,2020年11月7日,据长城汽车集团董事长魏建军透露，长城汽车已经把对外服务的业务团队进行集成，形成“一车一品牌一公司”，一个车就是一个品牌一个公司，配置的人员只有一个队长，其他成员有各自的角色。长城汽车集团董事长魏建军（图片来源：官方供图）除...
在长城汽车展台 看到了魏建军说的颠覆,搜狐网,2020年10月1日,"9月29日,长城汽车与通用汽车在泰国曼谷正式签署股权收购协议。根据协议,通用汽车泰国公司的罗勇府汽车制造工厂和动力总成工厂将于11月全部移交给长城汽车。 长城汽车正在大步走向世界。 魏建军在《致长城汽车伙伴们的一封信:长城汽车如何挺..."
"长城汽车魏建军:对于未来复杂的中国汽车市场,7月20日将有下一步行动",界面新闻,2020年7月13日,今日，长城汽车股份有限公司董事长魏建军表示：“我们赶上了中国汽车最好的时代，长城汽车过去三十年的成绩，要归功于中国改革开放的时代和中国汽车产业的红利。但现如今，全球经济下行、红利将尽，加上外资品牌以及造车新势力的合围，...
长城汽车组建“加里森敢死队” 魏建军强推组织变革底气何在?,苏雨农的长镜头,2020年11月9日,魏建军认为，长城在核心技术方面，不只都有，而且是最早。在本次“寰球思想汇”活动中，专家团参观了氢能技术中心，以及长城控股集团旗下专注动力电池研发的蜂巢能源。这里作为长城研发的机要之地，此前很少对媒体开放。氢燃料电池是汽车新...
胡润百富汽车榜 吉利李书福蝉联第1 长城魏建军财富被严重低估,发动机学士,2020年10月20日,榜单中长城汽车魏建军夫妇的资产为450亿，仅比去年同期增长110亿。长城汽车去年同期股价徘徊在7.5元上下，市值约690亿。而目前长城汽车A股股价已高达25.2元，市值高达2312.34亿。目前魏建军夫妇通过保定市长城控股集团有限公司间接持有长城...
"当魏建军成为Jack WEY,长城汽车报花名背后的底层逻辑",汽车商业评论杂志,2020年9月10日,继互联网之后，致力于未来的自主品牌也开始了“去汽车化”和“互联网化”的转型。名字只是长城汽车互联网化的一个开始，跟随称谓一起变化的，是集团组织架构的改变。7月16日，长城汽车发布了一份魏建军致员工的公开信，其中提到要加快...
长城汽车魏建军确认:坦克将独立成越野品牌,斗子侃车,3月22日,即使在这种情况下，我们在问到长城汽车内部人士时得到的外交式回答是：“还没有得到确切消息。”从内部人士的回应中看出，长城汽车并没有确认但也没有否认新的品牌Logo就是为坦克品牌申请的。3月21日，长城汽车董事长魏建军终于公开表示...
“挺过明年”后 魏建军再发声:“长城汽车最大的价值是生态”,搜狐网,2020年12月1日,"值得一提的是,此前在一场媒体沟通活动中,魏建军还对外阐述了其对长城汽车乃至中国汽车转型变革的新认识,即打造森林式生态模式,这既是长城汽车以“一车一品牌一公司”的理念进行作战模式调整的初衷,也是全新企业文化中“共分享”的深化演..."
长城汽车调整组织架构 魏建军宣称“向外走”要打“持久战”,每日经济新闻,2020年7月29日,”魏建军表示，“我们总强调建设高质量的管理机制和有竞争力的平台，而我实际上更关注的是管理人，怎么把人才激活，让更多的人愿意到这个平台上来，实现价值，展现自己，这是最重要的。”据悉，长城汽车的集团员工已经有近6万余人，其中...
深度解读:谋布长城汽车全球发展 魏建军居安思危的智慧和能力,中国财富网,2020年7月20日,电影中，已逾知天命之年的长城汽车掌门人魏建军，如同一个面壁者，早已洞悉汽车产业的终极奥秘，为长城汽车的未来谋局。方法总比困难多 30年前，小城保定一家名为长城工业公司的企业因为200万元债务奄奄一息。在“万元户”相当于超级富豪...
"从“汽车狂人”到“企业医生”,魏建军要为长城汽车开刀?",同城汽车,2020年7月17日,在魏建军眼中，看着长城汽车历经30年成长为千亿级汽车集团，从未有丝毫懈怠。就如，哈弗成为中国SUV的领导者，成功突破了中国品牌头上的天花板，终结了合资品牌暴利时代。很多人认为长城汽车或许已经有实力跟外资、合资品牌掰手腕，是最有希望...
"狼来了!“汽车大佬”魏建军搅局地产,长城实业五年要干到千亿",搜狐网,2020年6月25日,"汽车大佬魏建军也将被起诉数千亿 魏建军从事房地产行业已有很长时间,但他在房地产领域的知名度远不及长城汽车。 根据天眼闸的数据,保定长城控股集团有限公司持有魏建军的99%股权,共有三个主要从事房地产开发的平台公司,其中包括保定长城实业..."
魏建军出席中国汽车蓝皮书论坛:长城汽车正在加速机制变革,每日甘肃,2020年8月11日,近两年，长城汽车在组织、营销变革方面动作频繁。在组织创新上，魏建军表示，智能化组织和传统组织有非常大的不同，长城汽车在着力推进公司化运营，将做智能网联和自动驾驶的两个团队进行重新划分，做到“双智融合”。同时长城汽车按照“两...
"魏建军构筑“科技长城”生态链,长城汽车“新四化”变革取得突破",爱搜车,2020年7月30日,”长城汽车魏建军技术品牌发布会上这样说。在引起汽车业界内外强势围观的技术品牌发布会上，长城汽车重磅发布“柠檬”、“坦克”、“咖啡智能”三大技术品牌，正式宣告向全球化科技出行公司转型。伴随着大数据、云计算、5G、人工智能等新兴...
魏建军强力主导长城汽车自我革命:从制造商转向全球科技出行公司,智灵财经,2020年7月21日,在华安远见投资顾问公司的汽车产业研究员齐力看来，全球汽车产业大变局正在汹涌而至，“变”必将成为随之而来的关键词，主动求变的长城汽车在对未来路径的抉择中又一次赶在了潮头。7月20日，魏建军用实际行动向外界展示了长城汽车“转型...
自主品牌遇“存亡之秋” 长城汽车魏建军的“正面应对”,中国经营报,2020年7月18日,对于自主品牌如何迎接下一个10年甚至30年?魏建军在《致长城汽车小伙伴的一封信》中发表了自己的见地，“变革是长城汽车没有选择的选择。必须完成从‘中国汽车制造企业向全球化出行科技公司’的蜕变。”基于深刻洞察，魏建军提出长城汽车内部...
长城汽车董事长魏建军:向全球化出行科技公司蜕变,金融界,2020年7月16日,魏建军表示，汽车行业正在发生革命性变化，尤其是在疫情下，每一个车企的生存空间都在被逐渐挤压，中国品牌发展的窗口期已经关闭，在外资品牌和造车新势力的合围之下，要想顺利地度过寒冬绝非易事。根据长城汽车的规划，2020年，公司从...
自驱变革 魏建军发表公开信:长城汽车如何挺过明年,中国经济网,2020年7月16日,面对波诡云谲的前路，魏建军在信中说道，“我们必须进行一次‘脱胎换骨’式的改变，完成从‘中国汽车制造企业向全球化出行科技公司’的蜕变。”魏建军直指关系企业命脉的核心，提出长城汽车要进行机制创新、对企业组织和文化的基础层动刀、...
魏建军扪心自问:造车30年的长城汽车能挺过明年吗?,汽车观察家,2020年7月14日,确实，在业界和媒体人眼中，魏建军和长城汽车确实值得好好庆祝一番。因为长城汽车这30年的成就如日中天，有目共睹。专注于SUV领域的长城汽车，其主力产品哈弗H6长期占据国内SUV销量榜冠军，豪华SUV品牌，以魏建军姓氏命名的“WEY”也已经...
"30周岁庆典论长城汽车生死,魏建军究竟想说什么",路咖汽车,2020年7月14日,"在""长城汽车挺得过明年吗？""的最后，魏建军有一句，""7月20日，我们保定见。""这才是重点。新车/新技术/新能源/新投资或是什么？看看长城汽车目前手中握着什么？它有""11+5""全球生产体系，11个全工艺整车生产基地和5个KD工厂。它有..."
长城汽车30年 魏建军造车30年故事 构筑中国的汽车长城,汽势传媒,2020年7月13日,”哈尔滨博能汽车董事长贾秀芳表示，多年来，哈尔滨博能的发展离不开主机厂的大力支持，从一开始的集团成立仅有四个人到现在发展到员工千余人，哈博能一直和长城汽车共荣共建。哈尔滨博能汽车销售公司，于2002年开始做长城汽车经销商，最初...
魏建军:7月20日!而立之年的长城汽车会有大动作,搜狐网,2020年7月13日,"7月13日,长城汽车正式发布董事长魏建军造车三十年感悟特别电影。站在长城汽车的“而立”之年,魏建军董事长以更高的站位、全维度的视角对长城目前的发展进行了深刻反思。在他看来,尽管长城已经连续四年取得了百万级市场规模,旗下四大品牌..."
长城汽车“命悬一线”?魏建军要再一次扼住命运的喉咙,汽车葫芦圈,2020年7月13日,魏建军接手长城汽车的时刻，是长城工业公司负债累累的关键点……年轻的魏建军，当年毅然接盘了这个只有60人、总资产仅剩300万元的长城。在那个一汽-大众也还尚未成立的年代，魏建军的勇气，来自于他的正确判断。虽然当时中国人钱包干瘪，汽车...
「行业」魏建军掌舵 长城汽车三十而立 未来何去何从,汽车评驾,2020年7月13日,今年，是长城汽车成立三十周年。同样是在1990年7月，魏建军任职长城汽车工业公司总经理。在这三十年间，魏建军执掌长城汽车参与并见证了中国汽车工业的崛起，并走出国门。这三十年的沉淀，并不足以让长城汽车成为一家世界级的企业，相反...
"长城汽车三十而立,为何魏建军却自问“挺得过明年吗”?",车透社autoos,2020年7月13日,“放眼全球，中国汽车有重大的市场机会和市场空间。我们要做的，是走出国门，拓展更广阔的海外市场。”魏建军进一步阐述自己的全球化雄心，“如果海外市场的销售占比能达到30%-40%，那么未来长城汽车将成为一家真正的全球化汽车公司。”如...
