title,source,time,summary
国网综能服务集团董事长任伟理会见阳光电源董事长曹仁贤,中国电力网,4月16日,"4月14日下午,国网综能服务集团董事长、党委书记任伟理会见来访的阳光电源股份有限公司董事长曹仁贤一行。集团副总经理、党委委员樊功成陪同会见。 任伟理对曹仁贤一行的到来表示欢迎,并简要介绍了集团开展综合能源服务业务的发展成效和未来展望..."
阳光电源:2021年第一季度报告全文,同花顺财经,9天前,"阳光电源股份有限公司 2021年第一季度报告 2021年04月 第一节 重要提示 公司董事会、监事会及董事、监事、高级管理人员保证季度报告内容的真实、准确、完整,不存在虚假记载、误导性陈述或者重大遗漏,并承担个别和连带的法律责任。"
张祥安会见阳光电源股份有限公司董事长曹仁贤一行,潇湘晨报,4月16日,4月15日下午，市委书记张祥安会见阳光电源股份有限公司董事长曹仁贤一行，双方就推进项目建设、深化合作进行了座谈交流。市委常委、副市长花家红出席。张祥安表示，安庆市好山好水，资源丰富，目前正在进行大宗资源整合，以资源换产业。在国家碳...
阳光电源:曹仁贤解除质押3450万股,每日经济新闻,2020年11月27日,每经AI快讯，阳光电源（SZ 300274，收盘价：46.92元）11月27日晚间发布公告称，阳光电源股份有限公司近日收到公司控股股东、实际控制人曹仁贤先生的通知，曹仁贤先生将其持有本公司的部分股份办理了解除质押业务。公司控股股东、实际控制人...
全国人大代表、阳光电源股份有限公司董事长曹仁贤:加快颁布能源法...,国际能源网,3月11日,"2021年两会,针对能源法、碳市场等问题,全国人大代表、阳光电源股份有限公司董事长曹仁贤提出了自己的思考和建议。 据统计,我国能源领域碳排放占总排放的55%以上,大部分来自于化石能源燃烧。要实现碳中和,化石能源消耗必须尽快减少,能源结构..."
"阳光电源:控股股东曹仁贤解除质押2600万股,再质押1550万股",每日经济新闻,2020年9月22日,每经AI快讯，阳光电源（SZ 300274，收盘价：26.12元）9月22日晚间发布公告称，阳光电源股份有限公司近日收到公司控股股东、实际控制人曹仁贤先生的通知，曹仁贤先生于2020年9月22日将原质押给华泰证券的公司股份2600万股解除质押，占其所...
"阳光电源董事长曹仁贤:一些地方政府为了自身政绩,坐地起价愈演愈烈",中国电力网,2020年8月18日,"中国电力网(微信公众号:China_Power_com_cn)获悉,近日,阳光电源股份有限公司董事长曹仁贤就光伏、风电与常规能源之间的矛盾冲突以及一些地方政府违反可再生能源法的事件阐述了自己的意见和建议。"
阳光电源股份有限公司董事长曹仁贤:违反可再生能源法的事件日益增多,全国能源信息平台,2020年8月18日,但很多地方为了平衡其他电源利益，曲解了法律精神，甘肃、宁夏、新疆等地自行设定的风电、光伏发电保障性收购小时数，远低于国家要求的小时数。由于可再生能源发电项目的发电成本取决于资源条件和初投资，权益发电小时不够导致了项目收益的不...
阳光电源:控股股东、实际控制人曹仁贤质押1200万股,东方财富网,2020年11月25日,"阳光电源(SZ 300274,收盘价:48.36元)11月25日下午发布公告称,公司近日收到公司控股股东、实际控制人曹仁贤通知,曹仁贤于2020年11月23日质押其所持公司股份1200万股,占其所持股份比例为2.66%。截至本公告日,曹仁贤累计质押股数为9550..."
...访全国人大代表、阳光电源股份有限公司董事长曹仁贤,搜狐网,2020年7月10日,"带着诸多热点问题,《中国电业》记者采访了全国人大代表、阳光电源股份有限公司(简称阳光电源)董事长曹仁贤。 呼吁大幅提高可再生能源占比 《中国电业》:今年全国两会您带来哪方面的建议?对于“十四五”新能源发展规划,您又有何建议?阳光..."
曹敏会见阳光电源董事长曹仁贤 达成深化合作共识,搜狐网,2020年5月14日,"5月12日,电站集团总裁曹敏接待来访的阳光电源股份有限公司董事长曹仁贤一行,双方就目前疫情对企业影响、新能源平价上网面临的挑战、综合能源系统解决方案等开展深入交流,并就双方在清洁能源领域合作达成初步共识。"
阳光电源(300274.SZ)实控人曹仁贤质押1200万股,金融界,2020年11月25日,来源：智通财经网 智通财经APP讯，阳光电源(300274.SZ)公告，公司控股股东、实际控制人曹仁贤将其持有公司的部分股份办理了质押业务。曹仁贤本次质押股份1200万股，占公司总股本0.82%;目前其累计质押股份已达9550万股，占公司总股本6.55...
阳光电源:关于向控股子公司及其子公司提供财务资助的公告,同花顺财经,4月1日,"阳光电源股份有限公司(以下简称“公司”或“阳光电源”)于2021年3月31日召开第四届董事会第七次会议,审议通过了《关于向控股子公司及其子公司提供财务资助的议案》,为保障公司控股子公司阳光新能源开发有限公司(以下简称“阳光新能源”)及..."
"新能源亿万富翁榜出炉, 80%是中国人|马斯克|王传福|绿色能源|...",网易,2月3日,林建华 / 杭州福斯特应用材料股份有限公司 李想/ 理想汽车 曹仁贤 / 阳光电源 董经贵、钱静红 / 雅迪 王燕清 / 无锡先导智能装备股份有限公司 靳保芳 / 晶澳太阳能科技股份有限公司 头图来自 Bloomberg ...
阳光电源业绩暴跌后:曹仁贤卸下多职位 力推高管年轻化,新京报,2019年3月24日,"3月24日,新京报记者独家获悉,能源大佬曹仁贤近期已卸任阳光电源旗下4家公司法定代表人,有年轻高管接任部分职务。 全国企业信用信息系统显示,阳光电源股份有限公司(下称“阳光电源”)旗下的合肥阳光信息科技有限公司、合肥阳光新能源科技有限..."
...| 全国人大代表、合肥阳光电源股份有限公司董事长曹仁贤...,搜狐网,2019年3月6日,"“政府工作报告提出‘全面开展质量提升行动,推进与国际先进水平对标达标,弘扬工匠精神,来一场中国制造的品质革命’,这说到了我们的心坎上。”接受徽商传媒记者专访时,全国人大代表、合肥阳光电源股份有限公司董事长曹仁贤表示,我国制造业企业..."
两会|阳光电源董事长曹仁贤:建议增加可再生能源电价附加,中国经营报,2019年3月11日,"3月11日,《中国经营报》记者了解到,在2019年两会上,全国人大代表、阳光电源股份有限公司董事长曹仁贤就如何彻底解决可再生能源补贴资金缺口问题提出了两点建议。 据曹仁贤介绍,十八大以来,我国能源结构有了明显的改善,可再生能源应用比例稳步..."
光伏界“莱昂纳多”——阳光电源曹仁贤:以己为敌,搜狐网,2018年4月23日,"近日,阳光电源股份有限公司(股票代码:300274,以下简称“阳光电源”)总部五楼走廊尽头的总经理办公室内,曹仁贤将身体深深埋进宽厚的沙发里,轻揉了几下太阳穴后,他迅速进入采访状态。令人意外的是,采访一开始,他就以颇具进攻性和战斗力的宣..."
