title,source,time,summary
山丹县就加快推进“液态阳光”项目合作事宜进行交流对接,腾讯网,2020年12月5日,"12月3日,县委书记冯军,县委副书记、县长张伟与中科院大连化学物理研究所副研究员王集杰,中科院大连化学物理研究所张家港产业技术研究院院长韩涤非,阿特斯新能源控股有限公司总经理朱军等一行,就“液态阳光”项目合作事宜进行座谈,共同商讨项目..."
——访阿特斯光伏电力(洛阳)有限公司副总经理朱军,洛阳网,2013年8月16日,"谈起企业经营,阿特斯光伏电力(洛阳)有限公司副总经理朱军头头是道。记者采访时注意到,他在刊登有《底特律破产的启示》一文的《洛阳日报》头版上作了很多批注。 “从某个角度看,底特律的破产是美国制造业尤其是汽车业衰落的一个缩影,但..."
...| 阿特斯以1.031亿美元出售资产;天津不再发文核定对新能源发电...,搜狐网,2018年9月15日,"大全新能源表示将于2018年9月停止太阳能硅片制造业务。受政策影响,2018年二季度大全多晶硅硅片销量下跌。根据财报显示,第二季度硅片销量为980万片,接近修订后指导值的高点。 4. 阿特斯 阿特斯表示,已与公司首席执行官、董事长及公司最大..."
海达股份:控股子公司江阴海达新能源材料有限公司主要从事太阳能...,金融界,2020年7月3日,同花顺（300033）金融研究中心7月3日讯，有投资者向海达股份（300320）提问， 董秘你好！传闻公司在太阳能新能源领域也有涉足，跟太阳能行业龙头如隆基，中环，晶澳，阿特斯等公司有合作，是否属实？可以透露一下在哪些方面合作吗？将来对...
阿特斯太阳能将于5月20日举行2021年Q1财报电话会议,索比光伏网,前天16:43,"据智通财经APP获悉,美东时间5月5日,阿特斯太阳能(CSIQ.US)宣布计划将于北京时间2021年5月20日周四20:00(美东时间早上8:00)举行2021年第一季度财报电话会议,讨论公司2021年Q1业绩及商业前景。"
[收购]智动力:关于收购广东阿特斯科技有限公司部分股权的公告,中国财经信息网,2018年12月12日,"2、本次收购完成后,阿特斯将成为公司的控股子公司,不会因此产生新的 关联交易,不会因此与关联人产生同业竞争; ...同时也为公司今后成为智能手机、智能家居等中高端消费电子产品及新能源汽车 等领域的平台一体化供应商奠定优良基础。"
新特能源或计划发行A股;阿特斯出售140.25MW储能及300MW光伏项目...,搜狐网,1月14日,"阿特斯太阳能能源子公司Recurrent Energy完成Slate太阳能电站项目销售 1月13日,阿特斯太阳能(CSIQ.US)宣布,旗下全资子公司Recurrent Energy将“牛石(Slate)”太阳能电站项目出售给了高盛可再生能源公司(Goldman Sachs Renewable Power LLC)..."
重磅:阿特斯签约光伏制氢+耦合煤制百万吨甲醇项目,搜狐网,2020年11月15日,"市委常委、统战部部长李殿俊,市政府副市长于永梅、县委书记冯军等出席仪式并共同见证签约。县委副书记、县长张伟代表山丹县人民政府与中科院大连化学物理研究所、阿特斯新能源控股有限公司、苏州国巽新投实业发展有限公司签订合作协议。"
九洲集团募资5亿投建200MW平价光伏项目;​阿特斯就侵权提起反诉...,腾讯网,2020年9月27日,"阿特斯太阳能(CSIQ.US)就侵权提起反诉,Solaria向ITC再提新的诉讼 9月25日,阿特斯太阳能(CSIQ.US)称,从今年4月起一直就Solaria起诉该公司侵权打官司。阿特斯太阳能现就案件提出反诉,要求法院声明如下几点:(1)本案涉及的产品均未侵犯..."
产业快讯 | 阿特斯上调2018年第四季度出货量;国家能源局发布2018...,搜狐网,2019年2月16日,"出售目标包括和田协鑫光伏电力有限公司、磴口协鑫光伏电力有限公司、镇原县旭阳新能源科技有限公司和宁夏鑫垦简泉光伏电力有限公司。 3. 阿特斯 2月8日,阿特斯太阳能发布公告,表示公司将于3月21日公布第四季度和2018年全年的财务报表。"
