title,source,time,summary
谭旭光治理下的中国重汽受市场追捧,网易新闻,7天前,"鉴于中国重汽(000951)业绩的不俗表现和公司管理结构的改善,华金证券、渤海证券等多家证券公司,对谭旭光治理下的中国重汽(000951)未来充满信心,维持对中国重汽买入评级,他们认为随着持续深化改革和降本增效、产品型谱逐步完善,竞争力有望增强..."
潍柴为什么这么牛?谭旭光何时退休?重卡市场机遇在哪?解答来了,第一商用车网官方号,4月6日,用潍柴动力50%热效率发动机，6年可省1辆车 去年9月16日，潍柴动力发布了全球首款超过50%热效率重型商用柴油机，很多人都不知道这是什么概念。在此次潍柴业绩发布会上，谭旭光给大家做了一个直观的解答。一辆标载49吨级的重卡，装上...
泰兴徐州美驰车桥矿用车配件配件-海铎矿用车配件,邯郸之窗,1月20日,铎矿用车配件陕西通力汽车有限济南海铎矿用车配件简介济南海铎矿用车配件重汽济南海铎矿用车配件陕西通力汽车有限济南海铎矿用车配件是济南海铎矿用车配件重型汽车济南海铎矿用车配件有限济南海铎矿用车配件为贯彻落实国家《汽车产业调整和...
风满帆扬闯沧海——写在中国重汽年产销商用车50万辆之际,中国企业家日报,1月4日,山东重工集团有限公司党委书记、董事长  中国重汽集团有限公司党委书记、董事长 谭旭光 正所谓：大江流日夜，慷慨歌未央。作为我国民族重卡工业发展的摇篮、国内商用车行业的翘楚——中国重汽集团在年末宣布了2020年企业全系列商用车首次突破...
解放/陕汽/东风/徐工/北奔斩获千辆大单 谁能称霸12月重卡市场?,搜狐网,1月1日,● 你了解解放青汽吗?原来2020年的TA有这么多故事…… ● 上市当天斩单2878辆!2021天然气重卡市场就看TA了 ● 谭旭光时代的中国重汽 改革到底成功了多少?
潍柴重机:关于放弃山重融资租赁有限公司增资优先认缴权暨关联交易...,同花顺财经,2020年11月17日,"企业名称:中国重型汽车集团有限公司 住所:山东省济南市高新技术产业开发区华奥路777号中国重汽科技大厦 企业性质:有限责任公司 法人代表:谭旭光 注册资本:102,628万元人民币 统一社会信用代码:91370000614140905P ..."
外资品牌涌入国内重卡市场前夜:自主车企加快“冲高” 市场争夺...,腾讯网,2020年11月14日,"“德龙X6000产品的上市,标志着陕汽在中国重卡高端市场迈出了重要一步。”陕西汽车控股集团有限公司党委书记、董事长,陕西重型汽车有限公司副董事长袁宏明说。 图片来源:企业供图 今年以来,陕重汽“冲高”的脚步明显加快。今年9月,陕重汽发..."
宏观及重点行业跟踪周报——宏观、物流、汽车、地产、医疗、消金,搜狐网,2020年9月1日,"集团董事长谭旭光从集团层面提出三季度“确保每月实现销售2.3万辆,全力冲刺2.5万辆”的目标,在集团目标指引下,公司也将加大营销力度,推动重卡销量继续上行,预计将超额完成年报中提出的今年“确保产销汽车14.2万辆,实现销售收入450亿元”..."
"氢云周报:发改委鼓励3地发展氢产业,7月燃料电池产销惨淡",澎湃新闻,2020年8月15日,"近日,山东重工集团有限公司与山东省港口集团有限公司签署战略合作协议。山东省港口集团党委书记、董事长霍高原,山东重工集团党委书记、董事长谭旭光出席签约仪式。 谭旭光表示,山东重工集团和山东省港口集团有着良好的长期合作基础。特别是在绿色..."
潍柴动力:谭旭光董事长至丰田汽车研发中心(中国)公司考察 双方就...,金融界,2020年8月4日,来源：同花顺金融研究中心 同花顺（300033）金融研究中心8月4日讯，有投资者向潍柴动力（000338）提问， 谭旭光访问丰田公司。访问内容可以公布可以公布的吗？公司回答表示，2020年7月30日，谭旭光董事长至丰田汽车研发中心（中国）公司考察，...
