title,source,time,summary
青岛奥博新能源成为失信被执行人,搜狐网,2019年9月24日,"近日,记者从中国执行信息公开网官网了解到,青岛奥博新能源科技有限公司7次被列为失信被执行人,11次被列为被执行人;其中最近一次被列为失信被执行人是2019年9月18日,被列为被执行人最近的两次为2019年7月…"
育新机 开新局丨青岛高新区奥博智能助力新能源领域快速发展,搜狐网,2020年7月16日,"近日,位于青岛高新区的青岛奥博智能科技有限公司在疫情中寻求转机,将现有的电池加工机械改造升级,研发了自主生产的动力电池智能设备,不断助力新能源领域快速发展。 青岛奥博智能科技有限公司研发总监张北斗说:“我身后这个设备就是我们自主研..."
青岛奥博能源电力有限公司荣获“维科杯·OFweek2019优秀分布式...,OFweek维科网,2019年11月21日,"青岛奥博能源电力有限公司总部设立在青岛西海岸新区,是一家集新能源、可再生能源研发、设计、制造、销售为一体的国家级高新技术企业。主要从事以太阳能光伏发电应用、光伏组件制造、太阳能照明系统、太阳能城市亮化、太阳能中高温金属直通管、..."
奥博新能源荣获光伏行业首家“五星级售后服务”认证,北极星太阳能光伏网,2017年5月27日,"北极星太阳能光伏网讯:日前,青岛奥博能源电力有限公司获得由中标联合(北京)认证有限公司(批准号:CNCA-R-2016-217)颁发的“五星级售后服务”认证证书,证明奥博新能源的服务能力达到《商品售后服务评价体系》GB/T27922-2011规定的五星级要..."
猛狮科技王亚波:今年推A00级纯电动车,易车网,2017年4月20日,"广东猛狮新能源科技股份有限公司副总裁、新能源汽车事业部总裁王亚波在与网通社沟通时表示:“我们主要业务围绕着清洁电力生产,清洁电力存储和运用来开展,而新能源汽车将作为清洁电力应用的重要环节,今年猛狮科技将会推出一款全新A00级纯电动..."
仰望星空 脚踏实地 青岛奥博2018新品发布暨市场启动会盛大召开,北极星太阳能光伏网,2017年12月19日,"奥博发布会 2017年12月12日,“仰望星空 脚踏实地”---青岛奥博2018新品发布暨市场启动会在青岛藏马山国际旅游度假区盛大召开。 山西省繁峙县领导、吉林省桦甸市领导、合作金融机构代表、供应商代表、行业媒体等嘉宾应邀出席,奥博全国优秀..."
...赵李娜两位律师斩获中央广播电视总台《法律讲堂》栏目青岛市...,搜狐网,2020年8月24日,"成功代理了青岛元通典当有限公司诉青岛奥博新能源科技有限公司、薛常明系列民间借贷案,青岛华邦信物流诉中国平安财产青岛经济技术开发区支公司保险合同、青岛金旺鹏商贸有限公司诉旅居者酒店物业管理有限公司等疑难复杂案。服务于中房交建控股集..."
仰望星空 脚踏实地 | 青岛奥博举办2018新品发布会,世纪新能源网,2017年12月16日,"青岛奥博能源电力有限公司产品技术总监宋祖新先生发布2018新品。全新升级的产品阵容、现场全真的产品展厅,让与会嘉宾充分感受到了奥博家庭光伏强劲的产品支持。走在行业发展前端的奥博,一切从用户需求出发,为用户提供全面、领先、可靠的产品解决..."
青岛奥博能源电力有限公司参评“维科杯·OFweek2019 卓越/优秀...,OFweek维科网,2019年10月16日,"青岛奥博能源电力有限公司总部设立在青岛西海岸新区,是一家集新能源、可再生能源研发、设计、制造、销售为一体的国家级高新技术企业。主要从事以太阳能光伏发电应用、光伏组件制造、太阳能照明系统、太阳能城市亮化、太阳能中高温金属直通管、..."
2020全省帮扶村太阳能产业项目精准对接大会在济南举行【“好品...,搜狐网,2020年7月3日,"临沂立耀新能源科技有限公司总经理胡遵昌接受采访。 临沂立耀新能源科技有限公司 临沂立耀新能源科技有限公司是一家专业从事光伏太阳能组件集成设计和 太阳能产品应用和电力施工 EPC 总承包、建筑施工总承包的科技企业,公司位于山东省临沂市..."
