title,source,time,summary
鲁能前总经理的悲喜三年:从大满贯到最差成绩,中国新闻网,2012年11月22日,"现在的一个疑问是,刘宇此前一直在鲁能房地产系统任职,2005年起在重庆鲁能开发任职,2007年他被调到海南三亚任职,随后成为三亚鲁能公司的一把手,2010年3月成为鲁能集团有限公司副总,主管集团的地产业务。从刘宇的履历看出,他的专长在房地产方..."
鲁能掌门人升格副厅级 曝元老韩公政随后将调动,中国新闻网,2012年11月22日,"在这里有必要说明一下,自从2003年鲁能集团有限公司成立以来,其级别就跟山东电力集团平级,也就是说,来鲁能俱乐部之前,刘宇的级别就等同于山东电力集团的副总。这次平级调动过来,也体现出了山东电力和鲁能集团的上级领导的意图,而刘宇的平..."
鲁能旗下广宇发展重组失利 1/3高管变动,网易财经,2012年11月22日,"11月10日,鲁能集团旗下的上市公司广宇发展原总经理孟祥科辞去总经理职务,黄先可接任总经理。除了孟祥科工作变动外,另两名董事刘宇、孙瑜辞职。广宇发展董秘韩玉卫告诉记者,三人的工作变动是鲁能集团的安排。去年6月,鲁能计划将旗下60..."
山东鲁能人事巨变进入倒计时,安徽门户网站,2012年11月21日,"记者从鲁能内部人士处得到的消息是,目前已经身为山东电力集团总经理助理的孙国宇将不再担任山东鲁能体育文化发展有限公司总经理,他的继任者是来自鲁能集团有限公司的刘宇。刘宇现为鲁能集团有限公司副总经理、党组成员。据悉,刘宇的下一个职务..."
广宇发展:选择资产注入、委托管理方式解决与鲁能集团的同业竞争问题,同花顺财经,昨天13:02,"5月7日,广宇发展(000537)(天津广宇发展股份有限公司,股票代码SZ:000537)在互动易答投资者提问“鲁能集团的房地产业务未来是否会注入上市公司”时表示,公司正与鲁能集团积极研究相关解决方案,并根据避免同业竞争承诺内容及相关同业竞争资产状..."
天津广宇发展股份有限公司关于控股股东鲁能集团国有股权无偿划转...,网易订阅,3月4日,企业名称:鲁能集团有限公司 统一社会信用代码:913700007456935935 类型:有限责任公司(非自然人投资或控股的法人独资) 住所:济南市市中区经三路14号 法定代表人:刘宇 注册资本:2000000万人民币
吴志东担任山东鲁能俱乐部董事长、总经理 李霄鹏离任,齐鲁网,2020年12月27日,"第四任为孙国宇:上任后的第一年,孙国宇就缔造神奇,帮助鲁能体育收获大满贯,同样也是他在位期间,鲁能足球创造了史上最差成绩(联赛第12名)。 第五任为刘宇:刘宇上任后的大手笔运作也证明了自己的能力,不仅在外援和外教的引进上动作颇..."
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2019年12月21日,1.公司名称:鲁能集团有限公司 2.成立日期:2002 年12月12日 3.注册地址:济南市市中区经三路14号 4.统一社会信用代码:913700007456935935 5.主要办公地点:北京市朝阳区朝外大街5号 6.法定代表人:刘宇 7.注册资本:200亿元人民币 8....
鲁能和广州恒大谁更有钱?,昊东撩电影,2019年10月22日,"但实际上,国家电网的有关领导一直非常关注鲁能,即便国家电网没有直接管理鲁能俱乐部,但实际上前几年,当副厅级干部刘宇出任俱乐部老总时,其实就已经标志着鲁能俱乐部逐渐变成了国家电网直管。鲁能的胸前广告一直都是电网最好的宣传名片国家电..."
起底鲁能:4000亿巨头陨落之谜,腾讯网,2019年4月25日,"都城伟业成立于2009年,前身为“鲁能置业”,是国网电力在北京注册成立的一家房地产公司。都城伟业和鲁能集团的法人均为刘宇,两家公司也经常同时进行招标采购。可以说,鲁能集团和都城伟业实际上是同一家公司,只是挂了两块牌子。"
