title,source,time,summary
龙源电力董事长乔保平辞任由贾彦兵接任,同花顺财经,2019年9月25日,"同花顺财经 发布时间:09-2508:50浙江核新同花顺网络信息股份有限公司 【财华社讯】龙源电力(00916-HK)公布,乔保平因退休辞任非执行董事、董事长以及董事会提名委员会主任之职务,现委任执行董事贾彦兵为董事长以及董事会提名委员会主任,直至..."
人事 乔保平辞任!贾彦兵任龙源电力董事长!孙劲飚任总经理!,搜狐网,2019年11月11日,"详情如下: 公司执行董事贾彦兵先生由于获委任为本公司董事长,已经辞任本公司总经理(「总经理」),即日起生效。孙劲飚先生已经获董事会委任为新任总经理以代替贾彦兵先生,即日起生效,直至本届董事会任期届满当日为止…"
国信证券股份有限公司上调龙源电力评级,同花顺财经,昨天17:29,"2021年5月6日,国信证券股份有限公司发布研报,上调龙源电力评级,评级由“买入”调整为“买入”。 该研报摘要表示: 公司是新能源运营龙头企业,预计21-23年营收317/354/379亿元;归母净利润61.5/70.3/73.2亿元;对应摊薄EPS为0.77/..."
龙源电力集团股份有限公司2015年公司债券(第一期)受托管理事务...,和讯债券,2019年10月16日,"公开信息披露文件、第三方中介机构出具的专业意见以及龙源电力集团股份有限公司(以下简称“龙源电力”或“发行人”)出具的相关说明文件以及提供的相关资料等,由本次公司债券受托管理人中信证券(600030,股吧)股份有限公司(以下简称“中信证券”..."
"龙源电力乔保平退休辞任董事长,执行董事贾彦兵接任",界面新闻,2019年9月25日,"龙源电力公告称,乔保平因退休辞任公司非执行董事、董事长以及董事会提名委员会主任职务。现委任公司执行董事贾彦兵为董事长以及董事会提名委员会主任。 黄群因工作变动拟辞任执行董事以及董事会战略委员会委员之职务。孙劲飈获提名为执行董事..."
龙源电力(00916)委任贾彦兵为董事长等职,金融界,2019年9月24日,"智通财经APP讯,龙源电力(00916)公告,乔保平因退休辞任公司非执行董事、董事长以及董事会提名委员会主任职务,其辞任即日起生效。现委任公司执行董事贾彦兵为董事长以及董事会提名委员会主任,直至本届董事会任期届满为止。 黄群因工作变动拟..."
"乔保平退休辞任龙源电力董事长,贾彦兵接任",搜狐网,2019年9月26日,"龙源电力近日发布公告,乔保平先生因退休辞任本公司非执行董事、董事长以及董事会提名委员会主任之职务,其辞任即日起生效。现委任本公司执行董事贾彦兵先生为董事长以及董事会提名委员会主任,直至本届董事会任期届满为止。…"
龙源电力:老牌风电霸主的中兴之问,搜狐网,2020年7月1日,"不久前,贾彦兵交出执掌龙源电力(00916.HK)后的第一份成绩单。这家老牌风电巨头再次站在全球行业之巅,风电装机率先突破2000万千瓦。 制图/米小夏 当舒印彪扬起华能大举进军新能源的指挥棒时,国家能源集团还在合并后的调整期摸索。"
头顶180亿应收账款 风电一哥龙源电力如何突围?,新浪财经,2019年11月9日,"上述风电行业人士认为,对于龙源电力来说,发电量趋缓或许并不可怕,如何保证没有补贴的基础下盈利或许才是关键所在。 不过,作为龙源电力的控股公司,国家能源集团对龙源电力充满信心。“不管是刚刚卸任的乔保平,还是继任者贾彦兵都对龙源电力..."
龙源电力(00916.HK)委任贾彦兵为董事长,新浪财经,2019年9月24日,"格隆汇9月24日丨龙源电力(00916.HK)发布公告,乔保平因退休辞任公司非执行董事、董事长以及董事会提名委员会主任职务,其辞任即日起生效。现委任公司执行董事贾彦兵为董事长以及董事会提名委员会主任,直至本届董事会任期届满为止。 黄群因工..."
