2020年12月8日,比亚迪股份有限公司(以下简称“本公司”)收到中国证券监督管理委员会(以下简称“中国证监会”)出具的《中国证监会行政许可申请受理单》(受理序号:203280)。中国证监会对本公司提交的关于本公司新增发行境外上市外资股(H股)并...	比亚迪股份有限公司investRecordData_logoWord	比亚迪	比亚迪股份有限公司(以下简称本公司) 收到中国证券监督管理委员
格隆汇 7 月 17日丨保变电气(600550.SH)公布，公司于近日收到河北省保定市中级人民法院(“保定中院”)《民事裁定书》((2020)冀06破1-2号)，涉及公司参股公司保定天威英利新能源有限公司(“天威英利”)被裁定实质合并重整。	保定天威英利新能源有限公司logoWord	天威英利	天威英利新能源有限公司(天威英利) 被裁定实质合并重整。
经过充分讨论,以3票同意、0票反对、0票弃权选举蔡伟斌先生为公司第九届监事会监事长。 三、备查文件 第九届监事会第十二次会议决议等。 特此公告。 康佳集团股份有限公司 监 事 会 二〇二一年三月十五日 证券代码:000016、200016 ...	康佳集团股份有限公司directorsData_title	监事	监事长。, 三, 备查文件, 第九届监事会第十二次会议决议等。, 特此公
你公司第五届董事会第三次会议审议通过了你公司为全资子公司南京奥特佳新能源科技有限公司申请银行综合授信额度及银行贷款提供8亿元担保额度的议案。本公司及本公司的一致行动人提名的你公司董事均投票赞成。为进一步强化公司治理,完善对你公...	南京奥特佳新能源科技有限公司holdsData_logoWord	奥特佳	奥特佳新能源科技有限公司申请银行综合授信额度及银行贷款提供8亿元
张勇爱士惟新能源技术(江苏)有限公司总裁 陈国光华为技术有限公司智能光伏事业部总裁 杨立友晋能清洁能源科技股份公司总经理 12:00 - 13:30 自助午餐 主持嘉宾:吕芳 中科院电工所高级工程师,中国绿色供应链联盟光伏专委会秘书长,2020第五...	爱士惟新能源技术(江苏)有限公司legalPerson	张勇	张勇爱士惟新能源技术(江苏) 有限公司总裁, 陈国光华为技术有限公司
2021年4月26日,东风汽车集团发布消息:受中组部委托,东风公司董事长、党委书记竺延风同志宣布了中组部关于干部任职的决定:黄伟任东风汽车集团有限公司董事、党委副书记。 黄伟同志简历 打开腾讯新闻,查看更多图片 > 黄伟,男,1965年7月出生...	东风汽车集团有限公司directorsData_title	董事	董事长, 党委书记😎
甲方:中国广核集团有限公司 乙方:中国广核电力股份有限公司 (二)服务范围 中广核下属金融服务提供方向本集团提供金融服务,主要包括但不限于吸收存款、发放贷款、委托贷款、综合常年财务顾问服务、专项财务顾问服务、结算服务、保险服务、融资租...	中国广核集团有限公司investRecordData_logoWord	广核电力	中广核下属金融服务提供方向本集团提供金融服务, 主要包括但不限于吸
挖贝网讯 7月7日消息,司青岛科创蓝新能源股份有限公司青岛科创蓝新能源股份有限公司(证券简称:科创蓝 证券代码:835968)今天正式在新三板公开发行股票241.67万股(其中有限售条件93.33万股,无限售条件148.33万股),募集资金7250万元。股...	青岛科创蓝新能源股份有限公司logoWord	科创蓝	科创蓝新能源股份有限公司青岛科创蓝新能源股份有限公司(证券简称:
10月29日，上海电力（600021.SH）公告称，拟投资1.58亿元获得上海舜华新能源系统有限公司（下称上海舜华）27.8%的股权。同时，关联公司国家电投集团综合智慧能源科技有限公司也将投资0.34亿元，获得上海舜华另外6%的股权。上海电力的...	上海舜华新能源系统有限公司shareholdersData_logoWord	国家电投	投资1.58亿元获得上海舜华新能源系统有限公司（下称上海舜华）27.
【沧能股份拟出资1800万元设参股公司】沧能股份(871867)10月12日公告,公司拟与国网河北省电力有限公司、沧州临港兴化售电有限公司共同出资设立参股公司沧州源兴配售电有限责任公司,注册地为河北省沧州临港经济技术开发区,注册资本为2亿元,...	国网河北省电力有限公司logoWord	国网河	国网河北省电力有限公司, 沧州临港兴化售电有限公司共同出资设立参股
